ANO;MÊS;2700102 - Água Branca;2700201 - Anadia;2700300 - Arapiraca;2700409 - Atalaia;2700508 - Barra de Santo Antônio;2700607 - Barra de São Miguel;2700706 - Batalha;2700805 - Belém;2700904 - Belo Monte;2701001 - Boca da Mata;2701100 - Branquinha;2701209 - Cacimbinhas;2701308 - Cajueiro;2701357 - Campestre;2701407 - Campo Alegre;2701506 - Campo Grande;2701605 - Canapi;2701704 - Capela;2701803 - Carneiros;2701902 - Chã Preta;2702009 - Coité do Nóia;2702108 - Colônia Leopoldina;2702207 - Coqueiro Seco;2702306 - Coruripe;2702355 - Craíbas;2702405 - Delmiro Gouveia;2702504 - Dois Riachos;2702553 - Estrela de Alagoas;2702603 - Feira Grande;2702702 - Feliz Deserto;2702801 - Flexeiras;2702900 - Girau do Ponciano;2703007 - Ibateguara;2703106 - Igaci;2703205 - Igreja Nova;2703304 - Inhapi;2703403 - Jacaré dos Homens;2703502 - Jacuípe;2703601 - Japaratinga;2703700 - Jaramataia;2703759 - Jequiá da Praia;2703809 - Joaquim Gomes;2703908 - Jundiá;2704005 - Junqueiro;2704104 - Lagoa da Canoa;2704203 - Limoeiro de Anadia;2704302 - Maceió;2704401 - Major Isidoro;2704500 - Maragogi;2704609 - Maravilha;2704708 - Marechal Deodoro;2704807 - Maribondo;2704906 - Mar Vermelho;2705002 - Mata Grande;2705101 - Matriz de Camaragibe;2705200 - Messias;2705309 - Minador do Negrão;2705408 - Monteirópolis;2705507 - Murici;2705606 - Novo Lino;2705705 - Olho d'Água das Flores;2705804 - Olho d'Água do Casado;2705903 - Olho d'Água Grande;2706000 - Olivença;2706109 - Ouro Branco;2706208 - Palestina;2706307 - Palmeira dos Índios;2706406 - Pão de Açúcar;2706422 - Pariconha;2706448 - Paripueira;2706505 - Passo de Camaragibe;2706604 - Paulo Jacinto;2706703 - Penedo;2706802 - Piaçabuçu;2706901 - Pilar;2707008 - Pindoba;2707107 - Piranhas;2707206 - Poço das Trincheiras;2707305 - Porto Calvo;2707404 - Porto de Pedras;2707503 - Porto Real do Colégio;2707602 - Quebrangulo;2707701 - Rio Largo;2707800 - Roteiro;2707909 - Santa Luzia do Norte;2708006 - Santana do Ipanema;2708105 - Santana do Mundaú;2708204 - São Brás;2708303 - São José da Laje;2708402 - São José da Tapera;2708501 - São Luís do Quitunde;2708600 - São Miguel dos Campos;2708709 - São Miguel dos Milagres;2708808 - São Sebastião;2708907 - Satuba;2708956 - Senador Rui Palmeira;2709004 - Tanque d'Arca;2709103 - Taquarana;2709152 - Teotônio Vilela;2709202 - Traipu;2709301 - União dos Palmares;2709400 - Viçosa
1986;1;20.26;21.33;20.64;21.27;22.14;21.97;20.72;20.11;20.72;21.97;19.93;19.93;20.56;20.78;21.33;21.2;20.1;20.56;20.3;20.04;20.11;20.04;22.9;22.15;20.18;20.71;20.11;19.93;20.64;22.17;20.69;20.59;19.29;20.18;21.76;20.5;20.57;21.79;23.47;20.59;22.15;20.69;20.78;20.69;20.64;20.69;22.98;20.42;22.8;20.4;22.9;20.69;19.52;20.1;21.46;21.35;19.93;20.57;19.93;20.78;20.42;20.5;20.98;20.11;19.93;20.85;19.72;20.62;20.71;22.14;21.46;19.52;22.17;23.14;21.27;20.04;20.66;20.4;21.79;22.47;21.2;19.52;21.35;21.97;22.12;20.11;19.47;21.36;19.29;20.62;21.46;21.97;23.15;21.43;22.12;20.4;20.11;20.11;21.43;20.98;19.93;20.04
1986;2;20.38;21.58;20.9;21.51;22.39;22.2;20.94;20.39;20.94;22.2;20.21;20.12;20.82;21.08;21.58;21.48;20.23;20.82;20.45;20.31;20.39;20.34;23.14;22.39;20.43;20.85;20.29;20.12;20.9;22.44;20.97;20.84;19.6;20.43;22.05;20.64;20.75;22.07;23.75;20.84;22.39;20.97;21.08;20.97;20.9;20.97;23.24;20.61;23.07;20.55;23.14;20.95;19.81;20.23;21.73;21.61;20.12;20.75;20.21;21.08;20.61;20.64;21.25;20.29;20.07;21.04;19.96;20.79;20.85;22.39;21.73;19.81;22.44;23.38;21.51;20.31;20.83;20.55;22.07;22.74;21.48;19.81;21.61;22.2;22.37;20.29;19.75;21.67;19.6;20.79;21.73;22.2;23.41;21.7;22.37;20.55;20.39;20.39;21.7;21.25;20.21;20.31
1986;3;20.46;21.83;21.11;21.76;22.62;22.46;21.1;20.62;21.1;22.46;20.45;20.32;21.06;21.34;21.83;21.7;20.33;21.06;20.58;20.54;20.62;20.6;23.37;22.64;20.64;20.9;20.45;20.32;21.11;22.69;21.22;21.01;19.85;20.64;22.3;20.71;20.88;22.33;23.97;21.01;22.64;21.22;21.34;21.2;21.11;21.2;23.45;20.77;23.32;20.65;23.37;21.19;20.03;20.33;21.98;21.84;20.32;20.88;20.45;21.34;20.77;20.71;21.45;20.45;20.2;21.18;20.17;20.9;20.9;22.62;21.98;20.03;22.69;23.63;21.76;20.54;20.91;20.65;22.33;22.97;21.7;20.03;21.84;22.46;22.6;20.45;19.98;21.9;19.85;20.9;21.98;22.46;23.61;21.95;22.6;20.65;20.62;20.62;21.95;21.45;20.45;20.54
1986;4;20;21.55;20.73;21.57;22.57;22.23;20.66;20.31;20.66;22.23;20.34;19.89;20.91;21.33;21.55;21.33;19.89;20.91;20.11;20.33;20.31;20.55;23.2;22.37;20.27;20.38;20;19.89;20.73;22.37;21.15;20.59;19.77;20.27;21.92;20.23;20.42;22.33;23.93;20.59;22.37;21.15;21.33;20.87;20.73;20.87;23.37;20.33;23.33;20.17;23.2;20.94;19.75;19.89;21.95;21.74;19.89;20.42;20.34;21.33;20.33;20.23;21.04;20;19.77;20.73;19.82;20.42;20.38;22.57;21.95;19.75;22.37;23.33;21.57;20.33;20.42;20.17;22.33;22.94;21.33;19.75;21.74;22.23;22.47;20;19.81;21.48;19.77;20.42;21.95;22.23;23.55;21.62;22.47;20.17;20.31;20.31;21.62;21.04;20.34;20.33
1986;5;18.46;20.22;19.19;20.27;21.42;21.02;18.99;18.87;18.99;21.02;18.92;18.36;19.52;19.97;20.22;19.87;18.35;19.52;18.54;18.92;18.87;19.15;22.18;21.19;18.77;18.78;18.45;18.36;19.19;21.17;19.81;18.95;18.33;18.77;20.54;18.62;18.78;21.19;23.08;18.95;21.19;19.81;19.97;19.42;19.19;19.42;22.38;18.72;22.4;18.58;22.18;19.57;18.32;18.35;20.7;20.47;18.36;18.78;18.92;19.97;18.72;18.62;19.43;18.45;18.25;19.02;18.34;18.78;18.78;21.42;20.7;18.32;21.17;22.3;20.27;18.92;18.77;18.58;21.19;21.89;19.87;18.32;20.47;21.02;21.32;18.45;18.4;19.91;18.33;18.78;20.7;21.02;22.59;20.3;21.32;18.58;18.87;18.87;20.3;19.43;18.92;18.92
1986;6;17.16;18.89;17.66;19;20.29;19.82;17.39;17.43;17.39;19.82;17.56;16.89;18.18;18.72;18.89;18.43;17.03;18.18;17.09;17.54;17.43;17.83;21.07;19.97;17.28;17.43;16.99;16.89;17.66;19.96;18.53;17.37;16.94;17.28;19.19;17.23;17.25;20.04;22.07;17.37;19.97;18.53;18.72;17.96;17.66;17.96;21.31;17.19;21.37;17.16;21.07;18.22;16.91;17.03;19.51;19.24;16.89;17.25;17.56;18.72;17.19;17.23;17.9;16.99;16.91;17.41;16.9;17.28;17.43;20.29;19.51;16.91;19.96;21.19;19;17.54;17.3;17.16;20.04;20.79;18.43;16.91;19.24;19.82;20.15;16.99;17.05;18.43;16.94;17.28;19.51;19.82;21.53;18.96;20.15;17.16;17.43;17.43;18.96;17.9;17.56;17.54
1986;7;16.38;18.13;16.85;18.23;19.52;19.07;16.49;16.66;16.49;19.07;16.78;16.06;17.39;17.92;18.13;17.65;16.23;17.39;16.23;16.75;16.66;17.04;20.31;19.23;16.47;16.64;16.15;16.06;16.85;19.25;17.75;16.5;16.17;16.47;18.44;16.41;16.36;19.26;21.3;16.5;19.23;17.75;17.92;17.2;16.85;17.2;20.54;16.32;20.6;16.32;20.31;17.44;16.12;16.23;18.72;18.45;16.06;16.36;16.78;17.92;16.32;16.41;17.07;16.15;16.09;16.48;16.09;16.39;16.64;19.52;18.72;16.12;19.25;20.46;18.23;16.75;16.43;16.32;19.26;20.01;17.65;16.12;18.45;19.07;19.38;16.15;16.26;17.64;16.17;16.39;18.72;19.07;20.76;18.22;19.38;16.32;16.66;16.66;18.22;17.07;16.78;16.75
1986;8;16.12;17.61;16.38;17.71;18.97;18.54;16.14;16.16;16.14;18.54;16.29;15.68;16.88;17.4;17.61;17.14;15.95;16.88;15.93;16.27;16.16;16.55;19.76;18.68;16.03;16.39;15.8;15.68;16.38;18.66;17.24;16.1;15.7;16.03;17.9;16.14;16.06;18.71;20.74;16.1;18.68;17.24;17.4;16.67;16.38;16.67;19.98;15.97;20.02;16.04;19.76;16.94;15.66;15.95;18.19;17.93;15.68;16.06;16.29;17.4;15.97;16.14;16.61;15.8;15.78;16.19;15.67;16.11;16.39;18.97;18.19;15.66;18.66;19.91;17.71;16.27;16.17;16.04;18.71;19.46;17.14;15.66;17.93;18.54;18.84;15.8;15.8;17.13;15.7;16.11;18.19;18.54;20.21;17.67;18.84;16.04;16.16;16.16;17.67;16.61;16.29;16.27
1986;9;16.89;17.99;16.94;18.02;19.12;18.86;16.87;16.58;16.87;18.86;16.56;16.3;17.19;17.58;17.99;17.64;16.69;17.19;16.68;16.62;16.58;16.75;19.95;18.98;16.56;17.24;16.49;16.3;16.94;18.96;17.45;16.77;15.93;16.56;18.34;16.96;16.82;18.81;20.76;16.77;18.98;17.45;17.58;17.12;16.94;17.12;20.08;16.68;20.03;16.82;19.95;17.3;16.06;16.69;18.35;18.15;16.3;16.82;16.56;17.58;16.68;16.96;17.24;16.49;16.49;16.97;16.18;16.9;17.24;19.12;18.35;16.06;18.96;20.12;18.02;16.62;16.98;16.82;18.81;19.55;17.64;16.06;18.15;18.86;19.05;16.49;16.12;17.71;15.93;16.9;18.35;18.86;20.3;18.04;19.05;16.82;16.58;16.58;18.04;17.24;16.56;16.62
1986;10;18.42;18.99;18.15;18.98;19.88;19.77;18.26;17.7;18.26;19.77;17.57;17.64;18.19;18.43;18.99;18.76;18.19;18.19;18.16;17.68;17.7;17.69;20.74;19.91;17.78;18.75;17.9;17.64;18.15;19.9;18.36;18.09;16.94;17.78;19.36;18.47;18.29;19.53;21.36;18.09;19.91;18.36;18.43;18.21;18.15;18.21;20.8;18.08;20.63;18.31;20.74;18.34;17.18;18.19;19.16;19.04;17.64;18.29;17.57;18.43;18.08;18.47;18.46;17.9;17.96;18.43;17.41;18.4;18.75;19.88;19.16;17.18;19.9;20.96;18.98;17.68;18.5;18.31;19.53;20.26;18.76;17.18;19.04;19.77;19.89;17.9;17.18;18.83;16.94;18.4;19.16;19.77;20.98;19.05;19.89;18.31;17.7;17.7;19.05;18.46;17.57;17.68
