ANO;MÊS;1300029 - Alvarães;1300060 - Amaturá;1300086 - Anamã;1300102 - Anori;1300144 - Apuí;1300201 - Atalaia do Norte;1300300 - Autazes;1300409 - Barcelos;1300508 - Barreirinha;1300607 - Benjamin Constant;1300631 - Beruri;1300680 - Boa Vista do Ramos;1300706 - Boca do Acre;1300805 - Borba;1300839 - Caapiranga;1300904 - Canutama;1301001 - Carauari;1301100 - Careiro;1301159 - Careiro da Várzea;1301209 - Coari;1301308 - Codajás;1301407 - Eirunepé;1301506 - Envira;1301605 - Fonte Boa;1301654 - Guajará;1301704 - Humaitá;1301803 - Ipixuna;1301852 - Iranduba;1301902 - Itacoatiara;1301951 - Itamarati;1302009 - Itapiranga;1302108 - Japurá;1302207 - Juruá;1302306 - Jutaí;1302405 - Lábrea;1302504 - Manacapuru;1302553 - Manaquiri;1302603 - Manaus;1302702 - Manicoré;1302801 - Maraã;1302900 - Maués;1303007 - Nhamundá;1303106 - Nova Olinda do Norte;1303205 - Novo Airão;1303304 - Novo Aripuanã;1303403 - Parintins;1303502 - Pauini;1303536 - Presidente Figueiredo;1303569 - Rio Preto da Eva;1303601 - Santa Isabel do Rio Negro;1303700 - Santo Antônio do Içá;1303809 - São Gabriel da Cachoeira;1303908 - São Paulo de Olivença;1303957 - São Sebastião do Uatumã;1304005 - Silves;1304062 - Tabatinga;1304104 - Tapauá;1304203 - Tefé;1304237 - Tonantins;1304260 - Uarini;1304302 - Urucará;1304401 - Urucurituba
1986;1;21.69;21.62;22.16;22.02;21.8;21.54;22.27;21.52;22.32;21.75;22.01;22.4;21.7;21.97;22.12;22.12;21.84;22.31;22.41;21.88;21.98;21.45;21.31;21.62;21.14;22.05;21.33;22.4;22.2;21.97;22.02;21.17;21.62;21.75;22;22.33;22.26;22.15;21.96;21.76;21.89;21.71;22.15;22.17;21.86;22.41;21.85;21.99;21.93;21.15;21.55;20.8;21.8;22.02;22.31;21.89;21.99;21.74;21.41;21.73;21.83;22.46
1986;2;21.91;22.04;22.44;22.26;21.82;21.96;22.47;22.14;22.7;22.17;22.22;22.76;21.99;22.05;22.42;22.29;22.05;22.56;22.68;22.07;22.21;21.8;21.62;21.91;21.44;22.16;21.63;22.77;22.59;22.25;22.56;21.6;21.9;22.11;22.24;22.65;22.52;22.62;22.06;21.98;21.98;22.45;22.27;22.55;21.9;22.87;22.14;22.73;22.47;21.62;22.03;21.31;22.22;22.71;22.69;22.34;22.17;21.94;21.88;21.95;22.57;22.93
1986;3;22.23;22.49;22.49;22.47;22.08;22.09;22.5;22.27;22.68;22.33;22.44;22.73;22.04;22.23;22.43;22.53;22.46;22.59;22.68;22.32;22.29;21.96;21.79;22.21;21.5;22.42;21.76;22.75;22.59;22.48;22.6;21.98;22.24;22.43;22.36;22.66;22.58;22.62;22.33;22.16;22.05;22.8;22.27;22.56;22.17;22.98;22.3;22.87;22.46;21.77;22.44;21.65;22.47;22.85;22.69;22.59;22.49;22.29;22.31;22.23;22.83;23
1986;4;22.1;22.23;22.17;22.24;21.52;21.47;22.08;21.5;21.93;21.74;22.19;22.01;21.06;21.91;22.11;21.83;22.02;22.14;22.13;22.1;22.04;21.21;20.93;22.14;20.74;21.77;20.98;22.14;21.88;21.73;21.74;21.83;22.13;21.99;21.43;22.17;22.18;21.82;21.86;22.01;21.62;21.92;21.88;21.95;21.72;22.15;21.43;21.82;21.58;21.29;22.16;21.45;21.95;21.81;21.96;22.12;22.03;22.06;22.16;22.13;21.87;22.16
1986;5;21.33;21.29;21.59;21.47;20.01;20.48;21.42;20.81;21.33;20.69;21.39;21.43;19.65;20.98;21.53;20.47;20.93;21.53;21.53;21.28;21.45;20.05;19.69;21.49;19.61;20.33;19.91;21.58;21.31;20.47;21.17;21.29;21.36;20.96;19.97;21.61;21.59;21.26;20.57;21.46;20.7;20.88;21.21;21.39;20.36;21.46;20.12;21;21.04;20.89;21.3;21.05;20.9;21.07;21.41;21.16;20.87;21.15;21.37;21.43;20.93;21.53
1986;6;20.23;20.17;20.56;20.23;18.24;19.21;20.36;20.21;20.35;19.36;20.12;20.44;18.14;19.62;20.54;18.67;19.59;20.52;20.57;20.09;20.47;18.71;18.31;20.55;18.37;18.48;18.66;20.71;20.36;18.99;20.3;20.42;20.32;19.7;18.25;20.67;20.54;20.44;18.89;20.55;19.36;20.17;20.09;20.65;18.67;20.55;18.65;20.32;20.22;20.22;20.24;20.32;19.6;20.27;20.45;19.89;19.36;19.9;20.39;20.41;20.21;20.63
1986;7;19.43;19.39;19.74;19.35;17.61;18.72;19.66;19.94;19.97;18.7;19.22;20.01;17.36;18.82;19.77;17.65;18.59;19.76;19.94;19.25;19.79;18.11;17.66;19.99;18.08;17.54;18.22;20.11;19.86;18.09;19.82;19.98;19.62;18.88;17.3;19.95;19.74;19.95;17.98;19.98;18.83;19.95;19.46;20.16;17.88;20.24;17.83;19.99;19.76;19.97;19.53;20.09;18.79;19.92;19.95;19.03;18.33;19.01;19.77;19.7;19.93;20.24
1986;8;20.31;20.54;20.52;20.35;19.6;20.15;20.84;20.39;21.31;20.15;20.31;21.33;19.4;20.31;20.5;19.52;20.09;20.81;21.02;20.22;20.45;19.83;19.55;20.7;19.8;19.53;19.91;21.04;20.96;19.95;20.82;20.76;20.51;20.26;19.42;20.82;20.71;20.86;19.74;20.58;20.51;20.85;20.76;20.74;19.72;21.51;19.78;20.7;20.66;20.5;20.64;20.8;20.2;20.92;21.09;20.32;19.88;20.14;20.72;20.47;20.79;21.46
1986;9;21.82;21.88;22.17;22.12;21.79;21.57;22.69;21.22;23.33;21.74;22.13;23.3;21.32;22.32;22.08;21.66;21.86;22.58;22.8;21.85;21.83;21.39;21.15;21.86;21.15;21.69;21.27;22.67;22.77;21.78;22.54;21.72;21.85;21.83;21.49;22.47;22.45;22.48;21.83;21.78;22.6;22.28;22.72;21.91;21.85;23.49;21.6;22.02;22.28;21.31;21.89;21.61;21.82;22.57;22.92;21.9;21.83;21.81;21.87;21.84;22.2;23.37
1986;10;22.38;22.41;22.74;22.73;22.36;22;23.16;21.73;23.87;22.2;22.73;23.79;21.84;22.85;22.61;22.36;22.41;23.05;23.2;22.44;22.37;21.81;21.6;22.29;21.49;22.31;21.67;23.01;23.18;22.26;22.93;22.07;22.34;22.32;22.14;22.9;22.95;22.84;22.4;22.28;23.1;22.68;23.26;22.38;22.38;23.96;22.09;22.44;22.67;21.76;22.36;21.88;22.3;22.91;23.33;22.41;22.46;22.4;22.29;22.36;22.6;23.79
1986;11;22.32;22.44;22.65;22.58;22.24;22.07;23.03;21.89;23.53;22.29;22.59;23.5;22.07;22.68;22.56;22.56;22.47;22.94;23.08;22.41;22.35;21.94;21.77;22.31;21.57;22.42;21.75;22.95;23.06;22.45;22.87;22.03;22.32;22.41;22.39;22.83;22.84;22.79;22.39;22.29;22.8;22.59;23.08;22.43;22.32;23.6;22.29;22.47;22.65;21.76;22.38;21.73;22.42;22.8;23.19;22.54;22.52;22.37;22.27;22.35;22.56;23.49
1986;12;22.25;22.05;22.65;22.58;22.34;21.82;22.84;21.71;22.93;22.02;22.58;23.01;21.91;22.62;22.6;22.48;22.23;22.81;22.91;22.42;22.5;21.71;21.56;22.08;21.42;22.47;21.58;22.84;22.79;22.23;22.61;21.55;22.12;22.1;22.23;22.77;22.76;22.63;22.46;22.29;22.56;22.17;22.78;22.53;22.41;23.01;22.07;22.38;22.45;21.46;21.94;21.17;22.12;22.52;22.9;22.21;22.44;22.24;21.83;22.28;22.28;23.06
1987;1;21.96;21.89;22.58;22.48;22.05;21.72;22.66;21.74;22.75;21.88;22.47;22.83;21.82;22.34;22.53;22.33;22.06;22.72;22.83;22.22;22.35;21.66;21.53;21.85;21.35;22.31;21.58;22.86;22.67;22.09;22.56;21.36;21.87;21.93;22.1;22.75;22.68;22.67;22.31;22.06;22.16;22.24;22.47;22.49;22.2;22.9;21.97;22.55;22.49;21.37;21.75;20.98;21.95;22.58;22.77;22.01;22.28;22.01;21.6;22.01;22.41;22.98
1987;2;22.07;22.05;22.76;22.59;22.18;22.05;22.93;22.25;23.05;22.21;22.58;23.17;22.07;22.51;22.7;22.36;22.15;22.96;23.11;22.28;22.44;21.93;21.78;22;21.57;22.34;21.79;23.11;23.03;22.27;22.95;21.6;22.01;22.12;22.24;22.98;22.9;22.97;22.36;22.16;22.42;22.75;22.77;22.72;22.27;23.22;22.19;22.98;22.81;21.73;21.98;21.34;22.21;23.02;23.16;22.31;22.32;22.1;21.82;22.11;22.88;23.35
1987;3;22.47;22.63;22.87;22.79;22.3;22.23;22.93;22.47;23.27;22.43;22.74;23.33;22.15;22.55;22.82;22.68;22.59;22.97;23.1;22.6;22.67;22.07;21.88;22.43;21.66;22.62;21.89;23.13;23.13;22.56;23.11;22.14;22.47;22.55;22.48;23.02;22.94;23.03;22.57;22.46;22.44;23.25;22.75;22.89;22.42;23.54;22.39;23.26;22.9;21.95;22.54;21.85;22.57;23.32;23.26;22.7;22.65;22.51;22.42;22.49;23.28;23.59
1987;4;22.45;22.56;22.42;22.55;21.86;21.83;22.41;21.84;22.44;22.09;22.5;22.51;21.52;22.25;22.35;22.22;22.35;22.44;22.47;22.42;22.3;21.6;21.36;22.39;21.13;22.15;21.39;22.43;22.31;22.11;22.17;22.11;22.44;22.32;21.89;22.44;22.46;22.15;22.22;22.3;22.01;22.44;22.27;22.23;22.06;22.67;21.87;22.2;21.93;21.58;22.47;21.74;22.3;22.28;22.42;22.46;22.37;22.4;22.45;22.44;22.33;22.66
1987;5;21.56;21.47;21.83;21.72;20.36;20.71;21.85;20.96;21.71;20.91;21.67;21.82;19.9;21.36;21.77;20.72;21.2;21.92;21.98;21.53;21.67;20.25;19.9;21.69;19.88;20.56;20.15;21.93;21.7;20.72;21.51;21.42;21.58;21.18;20.26;21.92;21.91;21.59;20.85;21.67;21.1;21.16;21.65;21.6;20.7;21.81;20.38;21.21;21.34;21.02;21.46;21.17;21.1;21.34;21.81;21.33;21.15;21.4;21.55;21.65;21.18;21.86
1987;6;20.3;20.34;20.66;20.31;18.39;19.38;20.52;20.4;20.64;19.55;20.18;20.74;18.2;19.68;20.66;18.71;19.71;20.68;20.82;20.17;20.58;18.85;18.43;20.71;18.54;18.5;18.8;20.94;20.66;19.09;20.59;20.64;20.45;19.86;18.32;20.84;20.67;20.69;18.92;20.66;19.55;20.41;20.25;20.81;18.73;20.88;18.73;20.51;20.48;20.46;20.43;20.55;19.77;20.54;20.78;20.03;19.42;20;20.61;20.5;20.43;20.94
1987;7;19.85;19.81;20.27;19.75;18;19.07;20.2;20.26;20.69;19.06;19.63;20.73;17.84;19.26;20.28;18.06;19.08;20.34;20.52;19.65;20.18;18.48;18.11;20.33;18.46;17.9;18.6;20.68;20.5;18.54;20.48;20.32;20.01;19.3;17.74;20.51;20.31;20.5;18.34;20.3;19.33;20.43;19.98;20.55;18.25;20.95;18.27;20.44;20.32;20.28;19.92;20.41;19.21;20.51;20.65;19.47;18.77;19.46;20.15;20.08;20.42;20.96
1987;8;21.09;21.06;21.3;21.13;20.1;20.63;21.57;20.96;22.13;20.61;21.1;22.13;19.79;20.98;21.28;20.1;20.64;21.55;21.73;20.99;21.21;20.32;20.04;21.36;20.25;20.09;20.41;21.73;21.68;20.39;21.51;21.27;21.18;20.74;19.83;21.56;21.48;21.52;20.36;21.31;21.16;21.35;21.51;21.39;20.27;22.29;20.19;21.25;21.32;21.06;21.11;21.26;20.64;21.52;21.84;20.73;20.54;20.86;21.25;21.23;21.33;22.22
1987;9;22.23;22.12;22.8;22.69;22.3;21.89;23.25;21.84;23.84;22.08;22.7;23.85;21.6;22.9;22.73;21.83;22.09;23.18;23.39;22.34;22.51;21.7;21.48;22.27;21.44;21.98;21.57;23.24;23.28;22.08;23;22.07;22.2;22.12;21.68;23.05;23.04;23.02;22.24;22.34;23.18;22.65;23.26;22.54;22.33;23.93;21.89;22.51;22.82;21.85;22.16;21.96;22.15;22.99;23.47;22.24;22.14;22.14;22.15;22.29;22.65;23.85
1987;10;22.75;22.67;23.04;23.06;22.68;22.26;23.56;22.12;24.21;22.45;23.05;24.17;22.13;23.22;22.95;22.74;22.74;23.4;23.58;22.82;22.78;22.07;21.87;22.72;21.84;22.67;21.95;23.37;23.6;22.62;23.33;22.46;22.71;22.65;22.48;23.23;23.27;23.19;22.75;22.74;23.49;22.98;23.67;22.72;22.73;24.29;22.41;22.73;23.02;22.18;22.66;22.25;22.61;23.27;23.78;22.74;22.82;22.73;22.61;22.77;22.91;24.16
1987;11;22.91;22.85;23.26;23.26;23.02;22.47;23.64;22.45;23.97;22.69;23.27;23.98;22.53;23.39;23.2;23.08;22.94;23.57;23.68;23.04;23.06;22.38;22.21;22.84;22.07;23.05;22.2;23.52;23.6;22.9;23.39;22.49;22.85;22.83;22.88;23.42;23.46;23.32;23.1;22.92;23.49;23;23.65;23.07;23.07;23.99;22.74;22.97;23.16;22.34;22.74;22.21;22.81;23.28;23.72;22.88;23.09;22.93;22.7;22.92;23.03;23.99
