ANO;MÊS;1600055 - Serra do Navio;1600105 - Amapá;1600154 - Pedra Branca do Amapari;1600204 - Calçoene;1600212 - Cutias;1600238 - Ferreira Gomes;1600253 - Itaubal;1600279 - Laranjal do Jari;1600303 - Macapá;1600402 - Mazagão;1600501 - Oiapoque;1600535 - Porto Grande;1600550 - Pracuúba;1600600 - Santana;1600709 - Tartarugalzinho;1600808 - Vitória do Jari
1986;1;20.05;21.99;20.1;21.67;21.92;20.91;21.77;20.19;22.21;21.01;20.98;20.74;21.04;21.57;21.27;21.75
1986;2;19.91;22.01;19.98;21.6;21.94;20.84;21.75;20.17;22.24;20.94;20.86;20.65;21;21.54;21.24;21.73
1986;3;20.13;22.2;20.25;21.81;22.17;21.16;22.08;20.51;22.5;21.36;21.06;20.96;21.23;21.96;21.49;22.26
1986;4;20.16;22.14;20.27;21.84;22.06;21.09;21.95;20.52;22.34;21.28;21.17;20.91;21.21;21.85;21.42;22.11
1986;5;20.24;21.89;20.28;21.67;21.84;21.02;21.77;20.27;22.06;21;21.2;20.86;21.08;21.61;21.31;21.54
1986;6;19.68;21.48;19.68;21.25;21.3;20.41;21.21;19.61;21.66;20.33;20.81;20.24;20.47;21.03;20.67;20.81
1986;7;19.15;21.21;19.2;20.86;21.15;19.92;20.96;19.21;21.54;20.01;20.34;19.77;19.99;20.73;20.23;20.6
1986;8;19.19;21.42;19.3;21.06;21.47;19.97;21.16;19.58;21.71;20.2;20.47;19.8;20.22;20.83;20.46;21.15
1986;9;19.54;21.76;19.72;21.42;21.84;20.29;21.53;20.31;21.99;20.59;20.88;20.14;20.65;21.14;20.88;21.72
1986;10;20.03;22.11;20.23;21.71;22.24;20.79;21.99;20.84;22.42;21.1;21.15;20.65;21.05;21.63;21.32;22.28
1986;11;20.37;22.53;20.51;22.09;22.7;21.3;22.51;21.02;22.88;21.46;21.42;21.12;21.54;22.12;21.85;22.47
1986;12;20.45;22.31;20.52;21.93;22.33;21.37;22.25;20.66;22.62;21.44;21.28;21.19;21.42;22.07;21.69;22.27
1987;1;20;21.88;20.09;21.52;21.85;20.93;21.77;20.2;22.19;21.11;20.81;20.76;20.95;21.68;21.2;21.87
