ANO;MÊS;2300101 - Abaiara;2300150 - Acarape;2300200 - Acaraú;2300309 - Acopiara;2300408 - Aiuaba;2300507 - Alcântaras;2300606 - Altaneira;2300705 - Alto Santo;2300754 - Amontada;2300804 - Antonina do Norte;2300903 - Apuiarés;2301000 - Aquiraz;2301109 - Aracati;2301208 - Aracoiaba;2301257 - Ararendá;2301307 - Araripe;2301406 - Aratuba;2301505 - Arneiroz;2301604 - Assaré;2301703 - Aurora;2301802 - Baixio;2301851 - Banabuiú;2301901 - Barbalha;2301950 - Barreira;2302008 - Barro;2302057 - Barroquinha;2302107 - Baturité;2302206 - Beberibe;2302305 - Bela Cruz;2302404 - Boa Viagem;2302503 - Brejo Santo;2302602 - Camocim;2302701 - Campos Sales;2302800 - Canindé;2302909 - Capistrano;2303006 - Caridade;2303105 - Cariré;2303204 - Caririaçu;2303303 - Cariús;2303402 - Carnaubal;2303501 - Cascavel;2303600 - Catarina;2303659 - Catunda;2303709 - Caucaia;2303808 - Cedro;2303907 - Chaval;2303931 - Choró;2303956 - Chorozinho;2304004 - Coreaú;2304103 - Crateús;2304202 - Crato;2304236 - Croatá;2304251 - Cruz;2304269 - Deputado Irapuan Pinheiro;2304277 - Ereré;2304285 - Eusébio;2304301 - Farias Brito;2304350 - Forquilha;2304400 - Fortaleza;2304459 - Fortim;2304509 - Frecheirinha;2304608 - General Sampaio;2304657 - Graça;2304707 - Granja;2304806 - Granjeiro;2304905 - Groaíras;2304954 - Guaiúba;2305001 - Guaraciaba do Norte;2305100 - Guaramiranga;2305209 - Hidrolândia;2305233 - Horizonte;2305266 - Ibaretama;2305308 - Ibiapina;2305332 - Ibicuitinga;2305357 - Icapuí;2305407 - Icó;2305506 - Iguatu;2305605 - Independência;2305654 - Ipaporanga;2305704 - Ipaumirim;2305803 - Ipu;2305902 - Ipueiras;2306009 - Iracema;2306108 - Irauçuba;2306207 - Itaiçaba;2306256 - Itaitinga;2306306 - Itapajé;2306405 - Itapipoca;2306504 - Itapiúna;2306553 - Itarema;2306603 - Itatira;2306702 - Jaguaretama;2306801 - Jaguaribara;2306900 - Jaguaribe;2307007 - Jaguaruana;2307106 - Jardim;2307205 - Jati;2307254 - Jijoca de Jericoacoara;2307304 - Juazeiro do Norte;2307403 - Jucás;2307502 - Lavras da Mangabeira;2307601 - Limoeiro do Norte;2307635 - Madalena;2307650 - Maracanaú;2307700 - Maranguape;2307809 - Marco;2307908 - Martinópole;2308005 - Massapê;2308104 - Mauriti;2308203 - Meruoca;2308302 - Milagres;2308351 - Milhã;2308377 - Miraíma;2308401 - Missão Velha;2308500 - Mombaça;2308609 - Monsenhor Tabosa;2308708 - Morada Nova;2308807 - Moraújo;2308906 - Morrinhos;2309003 - Mucambo;2309102 - Mulungu;2309201 - Nova Olinda;2309300 - Nova Russas;2309409 - Novo Oriente;2309458 - Ocara;2309508 - Orós;2309607 - Pacajus;2309706 - Pacatuba;2309805 - Pacoti;2309904 - Pacujá;2310001 - Palhano;2310100 - Palmácia;2310209 - Paracuru;2310258 - Paraipaba;2310308 - Parambu;2310407 - Paramoti;2310506 - Pedra Branca;2310605 - Penaforte;2310704 - Pentecoste;2310803 - Pereiro;2310852 - Pindoretama;2310902 - Piquet Carneiro;2310951 - Pires Ferreira;2311009 - Poranga;2311108 - Porteiras;2311207 - Potengi;2311231 - Potiretama;2311264 - Quiterianópolis;2311306 - Quixadá;2311355 - Quixelô;2311405 - Quixeramobim;2311504 - Quixeré;2311603 - Redenção;2311702 - Reriutaba;2311801 - Russas;2311900 - Saboeiro;2311959 - Salitre;2312007 - Santana do Acaraú;2312106 - Santana do Cariri;2312205 - Santa Quitéria;2312304 - São Benedito;2312403 - São Gonçalo do Amarante;2312502 - São João do Jaguaribe;2312601 - São Luís do Curu;2312700 - Senador Pompeu;2312809 - Senador Sá;2312908 - Sobral;2313005 - Solonópole;2313104 - Tabuleiro do Norte;2313203 - Tamboril;2313252 - Tarrafas;2313302 - Tauá;2313351 - Tejuçuoca;2313401 - Tianguá;2313500 - Trairi;2313559 - Tururu;2313609 - Ubajara;2313708 - Umari;2313757 - Umirim;2313807 - Uruburetama;2313906 - Uruoca;2313955 - Varjota;2314003 - Várzea Alegre;2314102 - Viçosa do Ceará
1986;1;19.73;21.53;22.85;20.54;19.9;20.82;19.59;21.68;21.79;19.86;21.34;22.92;23.21;21.39;20.23;19.48;20.74;19.95;19.59;20.24;20.66;21.35;19.45;21.39;19.87;22.91;21.16;23.17;22.85;20.15;19.56;22.84;19.64;20.63;20.99;20.73;20.49;19.93;20.58;20.39;22.53;20.03;20.16;21.92;20.84;22.99;20.57;21.96;20.7;20.42;19.18;20.28;23.91;20.83;21.12;22.92;19.64;20.88;22.92;23.21;20.58;21;19.87;21.23;19.93;20.76;21.53;20.28;21.16;20.56;22.21;21.1;20.57;21.77;23.62;20.81;20.58;20;20.26;20.66;20.24;20.26;21.64;21.05;22.81;22.26;21.3;21.79;20.99;23.3;20.19;21.43;21.64;21.17;22.81;19.37;19.79;23.81;19.53;20.32;20.24;22.06;20.57;22.26;21.92;21.79;21.61;21.21;19.7;20.82;19.72;21.22;21.29;19.73;20.2;19.98;21.75;21.16;21.79;20.23;20.92;19.17;20.23;20.03;21.7;21.02;22.21;22.26;21.32;20.29;22.45;21.32;22.91;22.91;19.89;21;20.16;19.81;21.34;21.18;22.9;20.83;20.24;20.38;19.56;19.23;21.64;19.87;21.1;21.14;20.77;22.06;21.39;20.29;22.09;20.13;19.48;21.42;19.24;20.41;20.39;22.52;21.84;22.06;20.84;21.21;20.66;21.29;22.06;20.12;19.98;19.95;21.09;20.95;22.43;22.43;20.57;20.66;21.68;21.3;21.16;20.7;20.33;21.24
1986;2;19.51;21.49;22.76;20.26;19.7;20.56;19.32;21.47;21.65;19.58;21.2;23.04;23.25;21.24;20.02;19.28;20.46;19.73;19.32;19.96;20.4;21.05;19.26;21.24;19.62;22.79;20.98;23.23;22.76;19.92;19.47;22.72;19.43;20.39;20.72;20.5;20.24;19.62;20.24;20.14;22.51;19.77;19.95;21.91;20.5;22.89;20.3;21.88;20.45;20.22;19;20.05;23.9;20.55;20.96;23.04;19.34;20.62;23.04;23.24;20.33;20.8;19.65;21.01;19.62;20.5;21.49;20.05;20.98;20.31;22.24;20.82;20.33;21.52;23.73;20.52;20.24;19.82;20.06;20.4;20;20.03;21.39;20.82;22.77;22.3;21.13;21.65;20.72;23.32;19.94;21.14;21.39;20.92;22.77;19.26;19.73;23.75;19.25;19.98;19.96;21.88;20.3;22.3;21.91;21.62;21.41;20.98;19.57;20.56;19.54;20.92;21.09;19.51;19.96;19.76;21.51;20.93;21.62;19.99;20.71;18.92;20.02;19.84;21.51;20.73;22.24;22.3;21.23;20.04;22.34;21.23;22.99;22.99;19.72;20.8;19.94;19.73;21.2;20.97;22.99;20.55;20;20.16;19.44;19.02;21.43;19.7;20.82;20.83;20.49;21.88;21.24;20.04;21.93;19.83;19.28;21.21;19.07;20.16;20.14;22.59;21.61;22.07;20.56;20.98;20.41;21;21.88;19.92;19.67;19.76;20.89;20.74;22.42;22.42;20.33;20.4;21.6;21.13;20.93;20.43;19.99;21.03
1986;3;19.73;21.92;23;20.69;20;21.06;19.65;21.77;21.93;19.92;21.57;23.32;23.37;21.72;20.45;19.53;21.01;20.07;19.65;20.25;20.68;21.55;19.48;21.72;19.86;23.09;21.46;23.47;23;20.42;19.56;23.01;19.7;20.88;21.26;20.99;20.74;19.97;20.65;20.64;22.84;20.15;20.41;22.26;20.89;23.18;20.84;22.28;20.94;20.63;19.22;20.53;24.07;21.03;21.23;23.32;19.7;21.08;23.32;23.44;20.82;21.24;20.15;21.42;19.97;20.99;21.92;20.53;21.46;20.79;22.6;21.35;20.8;21.92;23.81;20.86;20.65;20.24;20.48;20.68;20.48;20.5;21.75;21.22;22.94;22.64;21.47;21.93;21.26;23.47;20.48;21.59;21.75;21.28;22.94;19.4;19.8;23.96;19.56;20.41;20.25;22.11;20.84;22.64;22.26;21.92;21.77;21.4;19.69;21.06;19.71;21.42;21.45;19.73;20.4;20.24;21.92;21.35;21.92;20.48;21.21;19.23;20.45;20.23;21.95;21.09;22.6;22.64;21.66;20.54;22.59;21.66;23.17;23.17;20.02;21.24;20.4;19.83;21.57;21.29;23.29;21.03;20.48;20.61;19.58;19.3;21.73;20.03;21.35;21.27;21.02;22.11;21.72;20.54;22.27;20.22;19.53;21.58;19.29;20.64;20.64;22.85;21.92;22.35;21.06;21.4;20.88;21.43;22.11;20.37;20.04;20.14;21.27;21.17;22.63;22.63;20.8;20.68;21.91;21.47;21.35;20.92;20.37;21.43
1986;4;19.19;21.93;23.04;20.2;19.51;21.15;19.12;21.51;21.99;19.36;21.59;23.3;23.19;21.71;20.34;19.03;20.98;19.55;19.12;19.7;20.12;21.32;18.94;21.71;19.34;23.15;21.45;23.36;23.04;20.25;19.05;23.07;19.19;20.86;21.24;20.97;20.8;19.42;20.07;20.67;22.76;19.61;20.29;22.26;20.31;23.22;20.73;22.23;21.03;20.44;18.69;20.53;24.07;20.59;20.89;23.3;19.17;21.12;23.3;23.27;20.92;21.24;20.2;21.52;19.42;21.05;21.93;20.53;21.45;20.76;22.59;21.25;20.86;21.77;23.59;20.31;20.07;19.94;20.32;20.12;20.47;20.45;21.46;21.25;22.78;22.64;21.52;21.99;21.24;23.48;20.41;21.25;21.46;20.86;22.78;18.84;19.27;23.97;19.05;19.83;19.7;21.94;20.73;22.64;22.26;22.01;21.89;21.5;19.19;21.15;19.19;21.06;21.5;19.19;19.97;20.14;21.76;21.46;22.01;20.56;21.19;18.73;20.34;19.93;21.89;20.58;22.59;22.64;21.67;20.57;22.45;21.67;23.2;23.2;19.6;21.24;20.04;19.26;21.59;20.91;23.24;20.59;20.47;20.53;19.03;18.79;21.48;19.64;21.25;20.78;20.78;21.94;21.71;20.57;22.14;19.66;19.03;21.66;18.75;20.57;20.67;22.85;21.69;22.34;20.69;21.5;20.93;21.03;21.94;20.19;19.48;19.77;21.3;21.24;22.67;22.67;20.86;20.12;21.93;21.52;21.46;20.94;19.79;21.53
1986;5;17.9;21.16;22.49;18.86;18.41;20.29;17.89;20.08;21.34;18.18;20.85;22.76;22.27;20.82;19.36;17.82;19.94;18.41;17.89;18.42;18.82;20.03;17.64;20.82;18.07;22.63;20.55;22.64;22.49;19.16;17.7;22.53;18.01;19.94;20.21;20.05;19.95;18.16;18.78;19.83;21.99;18.38;19.32;21.62;19;22.73;19.63;21.4;20.21;19.51;17.39;19.63;23.69;19.16;19.41;22.76;17.92;20.28;22.76;22.5;20.13;20.43;19.32;20.76;18.16;20.17;21.16;19.63;20.55;19.83;21.91;20.13;20.06;20.53;22.75;18.98;18.78;18.92;19.35;18.82;19.53;19.49;20.02;20.46;21.79;22.07;20.82;21.34;20.21;23.04;19.4;19.84;20.02;19.43;21.79;17.5;17.91;23.57;17.78;18.55;18.42;20.62;19.63;22.07;21.62;21.3;21.14;20.69;17.88;20.29;17.89;19.67;20.77;17.9;18.7;19.15;20.55;20.67;21.3;19.73;20.28;17.46;19.36;18.98;20.89;19.2;21.91;22.07;20.89;19.69;21.4;20.89;22.75;22.75;18.58;20.43;18.77;17.9;20.85;19.45;22.66;19.16;19.53;19.57;17.69;17.53;20.02;18.65;20.13;19.39;19.53;20.62;20.82;19.69;21.07;18.41;17.82;20.9;17.46;19.61;19.83;22.35;20.28;21.73;19.32;20.69;20.1;19.63;20.62;19.21;18.27;18.72;20.54;20.48;22.16;22.16;20.06;18.82;21.28;20.82;20.67;20.05;18.55;20.8
1986;6;17;20.4;21.93;18;17.69;19.47;17.01;19.32;20.8;17.39;20.16;22.04;21.52;19.92;18.53;16.9;18.9;17.68;17.01;17.61;18.1;19.02;16.73;19.92;17.21;21.97;19.64;21.89;21.93;18.2;16.8;21.89;17.16;19.05;19.17;19.15;19.06;17.3;17.94;19;21.22;17.61;18.44;20.92;18.19;22.05;18.61;20.57;19.38;18.87;16.46;18.8;23.1;18.24;18.73;22.04;17.03;19.47;22.04;21.79;19.29;19.64;18.4;20.04;17.3;19.28;20.4;18.8;19.64;18.88;21.17;19.08;19.25;19.55;21.98;18.22;17.94;18.13;18.62;18.1;18.59;18.61;19.23;19.74;21.06;21.34;20.23;20.8;19.17;22.52;18.41;18.95;19.23;18.67;21.06;16.59;16.98;22.95;16.87;17.69;17.61;19.84;18.61;21.34;20.92;20.76;20.52;19.98;17.01;19.47;17;18.71;20.14;17;17.81;18.23;19.63;19.95;20.76;18.85;19.37;16.52;18.53;18.35;19.97;18.43;21.17;21.34;20.11;18.75;20.61;20.11;22.17;22.17;17.91;19.64;17.86;16.97;20.16;18.74;21.95;18.24;18.59;18.82;16.78;16.61;19.29;18.01;19.08;18.53;18.52;19.84;19.92;18.75;20.19;17.59;16.9;20.26;16.54;18.71;19;21.72;19.48;21.15;18.35;19.98;19.26;18.78;19.84;18.36;17.46;18.02;19.84;19.71;21.62;21.62;19.25;18.1;20.69;20.23;19.95;19.09;17.72;20.07
1986;7;16.51;19.93;21.79;17.71;17.37;19.4;16.54;19.11;20.68;16.98;19.88;21.51;21;19.44;18.49;16.37;18.52;17.37;16.54;17.23;17.82;18.78;16.2;19.44;16.77;21.75;19.21;21.34;21.79;17.93;16.25;21.7;16.7;18.76;18.73;18.81;18.93;16.87;17.62;18.84;20.72;17.29;18.27;20.51;17.89;21.81;18.29;20.08;19.25;18.88;15.89;18.7;22.81;17.96;18.49;21.51;16.56;19.36;21.51;21.24;19.1;19.33;18.19;19.95;16.87;19.21;19.93;18.7;19.21;18.81;20.67;18.71;19.08;19.25;21.39;17.95;17.62;17.91;18.59;17.82;18.49;18.58;19.05;19.56;20.61;20.87;20.02;20.68;18.73;22.29;18.06;18.76;19.05;18.44;20.61;16.03;16.42;22.68;16.37;17.35;17.23;19.56;18.29;20.87;20.51;20.77;20.53;19.97;16.51;19.4;16.51;18.5;19.98;16.51;17.51;17.97;19.31;19.89;20.77;18.64;18.99;15.96;18.49;18.2;19.49;18.19;20.67;20.87;19.69;18.6;20.19;19.69;21.83;21.83;17.64;19.33;17.56;16.41;19.88;18.52;21.41;17.96;18.49;18.86;16.24;16.05;19.09;17.77;18.71;18.28;18.26;19.56;19.44;18.6;19.79;17.24;16.37;20.22;15.97;18.51;18.84;21.33;19.31;20.85;18.1;19.97;19.12;18.57;19.56;18.18;17.07;17.79;19.61;19.57;21.36;21.36;19.08;17.82;20.43;20.02;19.89;19.01;17.37;19.94
1986;8;16.89;20.24;21.98;18.56;18.15;20.05;17.1;19.82;20.98;17.66;20.23;21.5;21.1;19.91;19.27;16.92;19.15;18.17;17.1;17.78;18.45;19.62;16.57;19.91;17.21;22.06;19.7;21.39;21.98;18.57;16.53;21.99;17.32;19.3;19.36;19.34;19.6;17.42;18.39;19.6;20.91;18.09;18.93;20.72;18.66;22.13;18.96;20.41;19.89;19.72;16.25;19.52;22.76;18.87;19.17;21.5;17.09;19.97;21.5;21.3;19.72;19.77;18.83;20.57;17.42;19.92;20.24;19.52;19.7;19.59;20.83;19.42;19.8;19.99;21.35;18.67;18.39;18.59;19.35;18.45;19.25;19.42;19.87;20.02;20.85;21;20.34;20.98;19.36;22.31;18.65;19.65;19.87;19.24;20.85;16.34;16.64;22.68;16.81;18.12;17.78;20.15;18.96;21;20.72;21.2;21.06;20.55;16.85;20.05;16.87;19.4;20.38;16.89;18.3;18.55;20;20.47;21.2;19.27;19.5;16.38;19.27;18.98;19.98;18.99;20.83;21;20.05;19.31;20.57;20.05;21.82;21.82;18.44;19.77;18.32;16.66;20.23;19.27;21.43;18.87;19.25;19.76;16.55;16.55;19.84;18.58;19.42;19.17;19.04;20.15;19.91;19.31;20.28;18;16.92;20.71;16.36;19.15;19.6;21.39;20.07;21.02;18.97;20.55;19.74;19.43;20.15;18.84;17.73;18.56;20.01;20.25;21.45;21.45;19.8;18.45;20.68;20.34;20.47;19.79;18.03;20.57
1986;9;18.16;20.82;22.28;19.88;19.56;20.77;18.47;20.85;21.45;19.08;20.8;21.86;21.64;20.59;20.29;18.38;19.95;19.52;18.47;19.06;19.68;20.64;17.85;20.59;18.48;22.44;20.41;21.84;22.28;19.53;17.73;22.36;18.77;20.06;20.15;20.07;20.43;18.75;19.76;20.53;21.44;19.47;19.9;21.22;20;22.54;19.85;21.01;20.65;20.81;17.54;20.49;22.92;20.15;20.25;21.86;18.44;20.73;21.86;21.78;20.52;20.43;19.69;21.25;18.75;20.74;20.82;20.49;20.41;20.57;21.32;20.29;20.69;20.9;21.81;19.95;19.76;19.66;20.39;19.68;20.2;20.45;20.95;20.66;21.47;21.44;20.84;21.45;20.15;22.54;19.48;20.81;20.95;20.43;21.47;17.59;17.8;22.87;18.11;19.52;19.06;21.03;19.85;21.44;21.22;21.64;21.57;21.15;18.05;20.77;18.1;20.59;20.94;18.16;19.55;19.46;20.89;21.11;21.64;20.11;20.22;17.68;20.29;20.1;20.71;20.26;21.32;21.44;20.66;20.2;21.26;20.66;22.12;22.12;19.78;20.43;19.5;17.87;20.8;20.4;21.82;20.15;20.2;20.81;17.78;17.94;20.87;19.85;20.29;20.47;20.08;21.03;20.59;20.2;21.02;19.4;18.38;21.28;17.69;20.04;20.53;21.78;21.07;21.5;20.17;21.15;20.52;20.63;21.03;19.84;19.14;19.77;20.6;21.05;21.81;21.81;20.69;19.68;21.17;20.84;21.11;20.71;19.4;21.3
1986;10;19.73;21.68;22.95;21.08;20.97;21.55;19.98;21.85;22.2;20.54;21.63;22.61;22.51;21.48;21.1;20.07;20.9;20.81;19.98;20.46;20.98;21.59;19.45;21.48;19.95;23.04;21.31;22.66;22.95;20.49;19.34;22.98;20.37;20.97;21.09;20.99;21.18;20.2;21.06;21.19;22.28;20.76;20.79;22.02;21.27;23.12;20.79;21.88;21.4;21.65;19.16;21.16;23.54;21.29;21.35;22.61;19.92;21.54;22.61;22.65;21.24;21.31;20.39;21.93;20.2;21.53;21.68;21.16;21.31;21.39;22.14;21.22;21.35;21.81;22.68;21.2;21.06;20.67;21.22;20.98;20.96;21.17;21.94;21.49;22.35;22.22;21.62;22.2;21.09;23.2;20.42;21.82;21.94;21.54;22.35;19.26;19.46;23.5;19.63;20.85;20.46;21.96;20.79;22.22;22.02;22.36;22.24;21.89;19.56;21.55;19.64;21.63;21.74;19.73;20.7;20.38;21.81;21.82;22.36;20.82;21.14;19.24;21.1;21.1;21.61;21.44;22.14;22.22;21.53;20.95;22.15;21.53;22.82;22.82;21.09;21.31;20.59;19.56;21.63;21.51;22.6;21.29;20.96;21.52;19.43;19.55;21.87;21.03;21.22;21.62;21.06;21.96;21.48;20.95;21.92;20.75;20.07;22.03;19.35;20.93;21.19;22.52;22;22.28;21.24;21.89;21.3;21.7;21.96;20.76;20.57;20.88;21.44;21.7;22.52;22.52;21.35;20.98;21.95;21.62;21.82;21.51;20.77;21.96
