ANO;MÊS;5000203 - Água Clara;5000252 - Alcinópolis;5000609 - Amambai;5000708 - Anastácio;5000807 - Anaurilândia;5000856 - Angélica;5000906 - Antônio João;5001003 - Aparecida do Taboado;5001102 - Aquidauana;5001243 - Aral Moreira;5001508 - Bandeirantes;5001904 - Bataguassu;5002001 - Batayporã;5002100 - Bela Vista;5002159 - Bodoquena;5002209 - Bonito;5002308 - Brasilândia;5002407 - Caarapó;5002605 - Camapuã;5002704 - Campo Grande;5002803 - Caracol;5002902 - Cassilândia;5002951 - Chapadão do Sul;5003108 - Corguinho;5003157 - Coronel Sapucaia;5003207 - Corumbá;5003256 - Costa Rica;5003306 - Coxim;5003454 - Deodápolis;5003488 - Dois Irmãos do Buriti;5003504 - Douradina;5003702 - Dourados;5003751 - Eldorado;5003801 - Fátima do Sul;5003900 - Figueirão;5004007 - Glória de Dourados;5004106 - Guia Lopes da Laguna;5004304 - Iguatemi;5004403 - Inocência;5004502 - Itaporã;5004601 - Itaquiraí;5004700 - Ivinhema;5004809 - Japorã;5004908 - Jaraguari;5005004 - Jardim;5005103 - Jateí;5005152 - Juti;5005202 - Ladário;5005251 - Laguna Carapã;5005400 - Maracaju;5005608 - Miranda;5005681 - Mundo Novo;5005707 - Naviraí;5005806 - Nioaque;5006002 - Nova Alvorada do Sul;5006200 - Nova Andradina;5006259 - Novo Horizonte do Sul;5006275 - Paraíso das Águas;5006309 - Paranaíba;5006358 - Paranhos;5006408 - Pedro Gomes;5006606 - Ponta Porã;5006903 - Porto Murtinho;5007109 - Ribas do Rio Pardo;5007208 - Rio Brilhante;5007307 - Rio Negro;5007406 - Rio Verde de Mato Grosso;5007505 - Rochedo;5007554 - Santa Rita do Pardo;5007695 - São Gabriel do Oeste;5007703 - Sete Quedas;5007802 - Selvíria;5007901 - Sidrolândia;5007935 - Sonora;5007950 - Tacuru;5007976 - Taquarussu;5008008 - Terenos;5008305 - Três Lagoas;5008404 - Vicentina
1986;1;20.83;20.37;20.58;21.3;20.96;20.94;20.67;21.31;22.22;20.45;20.68;20.96;20.98;21.13;21.53;21.23;21.14;20.6;20.47;20.75;21.71;20.1;20.06;21.09;20.49;22.31;19.97;21.78;20.85;21.08;20.87;20.65;20.94;20.85;20.61;20.85;20.99;20.82;20.58;20.77;20.93;20.95;20.86;20.62;21.14;20.91;20.71;22.39;20.33;20.75;21.99;21.01;20.92;21.01;20.82;20.98;20.97;20.16;20.7;20.65;21.23;20.59;22.03;20.77;20.81;21.4;21.73;20.76;21.12;21.05;20.76;21.28;20.8;21.08;20.7;21;21.2;21.07;20.78
1986;2;21.04;20.43;20.66;21.34;21.21;21.07;20.66;21.66;22.3;20.52;20.77;21.21;21.19;21.14;21.6;21.3;21.4;20.7;20.6;20.88;21.75;20.35;20.25;21.14;20.57;22.38;20.09;21.83;20.96;21.13;20.98;20.77;21.02;20.96;20.69;20.96;21.01;20.9;20.86;20.89;21.02;21.06;20.93;20.74;21.17;21;20.81;22.52;20.44;20.83;22.06;21.09;21.01;21.05;20.95;21.13;21.07;20.3;21.04;20.72;21.25;20.65;22.07;20.96;20.92;21.45;21.79;20.84;21.39;21.11;20.83;21.58;20.89;21.09;20.77;21.13;21.24;21.35;20.89
1986;3;20.1;19.81;19.15;20.14;19.99;19.82;19.32;20.82;21.36;19.06;19.84;19.99;19.96;19.87;20.36;20;20.33;19.25;19.72;19.71;20.5;19.6;19.49;20.19;19.07;21.5;19.41;21.13;19.66;20.05;19.71;19.43;19.58;19.66;19.97;19.66;19.76;19.42;20.08;19.58;19.6;19.76;19.48;19.73;19.89;19.62;19.38;21.62;18.95;19.57;20.95;19.72;19.6;19.8;19.73;19.88;19.75;19.55;20.26;19.23;20.63;19.29;20.88;19.9;19.65;20.6;21;19.87;20.28;20.32;19.37;20.68;19.72;20.49;19.28;19.85;20.22;20.43;19.58
1986;4;18.09;18.35;16.57;18.11;17.68;17.55;17.17;18.99;19.4;16.61;18.1;17.72;17.61;17.69;18.22;17.83;18.2;16.79;17.96;17.6;18.2;17.86;17.78;18.41;16.49;19.52;17.86;19.6;17.32;18.14;17.47;17.15;16.96;17.32;18.39;17.32;17.68;16.81;18.28;17.35;17.04;17.42;16.83;17.86;17.73;17.16;16.92;19.29;16.53;17.49;18.81;17.11;17.09;17.73;17.51;17.57;17.35;17.88;18.5;16.55;19.17;17.1;18.62;17.82;17.44;18.94;19.39;18.05;18.11;18.69;16.67;18.73;17.69;19.06;16.61;17.45;18.36;18.46;17.25
1986;5;15.58;16.34;14.03;15.74;15.31;15.1;14.94;16.53;17.12;14.17;15.89;15.29;15.25;15.4;15.68;15.26;15.7;14.2;15.67;15.17;15.9;15.36;15.42;16.25;13.99;17.17;15.72;17.68;14.85;15.94;15.01;14.67;14.4;14.85;16.3;14.85;15.35;14.24;15.74;14.86;14.52;14.98;14.26;15.58;15.42;14.64;14.36;16.57;14.01;15.16;16.29;14.59;14.56;15.38;15.04;15.12;14.88;15.63;15.96;14.04;17.29;14.73;16.24;15.32;14.98;16.89;17.39;15.85;15.63;16.63;14.14;16.25;15.39;17.17;14.07;15.04;16.2;15.97;14.74
1986;6;14.06;15.15;11.6;13.72;13.32;13.04;12.6;15.14;15.24;11.77;14.38;13.39;13.17;13.1;13.56;13.12;14.05;11.88;14.25;13.33;13.53;14.03;14.14;14.63;11.56;15.29;14.49;16.3;12.62;14.15;12.87;12.51;11.88;12.62;14.96;12.62;13.18;11.77;14.41;12.73;12.07;12.8;11.69;13.99;13.15;12.33;12.04;14.52;11.71;13.11;14.21;12.01;12.21;13.29;13.08;13.06;12.64;14.35;14.61;11.47;16.06;12.51;13.95;13.66;12.92;15.32;15.86;14.25;13.94;15.17;11.51;14.81;13.52;15.98;11.52;12.86;14.45;14.51;12.49
1986;7;14.1;15.29;12.08;14.13;13.69;13.51;13.15;15.21;15.52;12.22;14.73;13.7;13.63;13.61;13.88;13.43;14.18;12.38;14.44;13.66;14.03;14;14.14;15.05;12.01;15.52;14.58;16.54;13.15;14.62;13.27;12.96;12.4;13.15;15.17;13.15;13.67;12.27;14.39;13.12;12.62;13.36;12.15;14.33;13.65;12.9;12.57;14.55;12.16;13.6;14.48;12.5;12.77;13.75;13.45;13.54;13.22;14.43;14.61;11.9;16.25;12.98;14.4;13.82;13.33;15.73;16.21;14.66;14.1;15.51;11.94;14.87;13.96;16.17;11.97;13.41;14.92;14.56;12.98
1986;8;16.55;17.57;13.92;16.59;15.73;15.77;15.21;17.49;18.15;14.14;17.07;15.83;15.6;15.8;16.37;15.85;16.51;14.38;16.77;16;16.25;16.42;16.53;17.51;13.86;18.13;16.84;19.09;15.32;17.08;15.62;15.16;14.11;15.32;17.47;15.32;15.97;14.05;16.81;15.44;14.37;15.47;13.84;16.67;15.89;14.87;14.56;17.08;14.12;15.9;17.03;14.18;14.65;16.1;15.76;15.66;15.26;16.77;16.96;13.65;18.7;15.12;16.78;16.19;15.65;18.22;18.74;17.05;16.39;17.87;13.65;17.23;16.32;18.63;13.71;15.37;17.4;16.94;15.18
1986;9;19.25;20.06;16.7;19.05;18.35;18.46;17.64;20.08;20.57;16.78;19.52;18.46;18.24;18.24;18.87;18.41;19.15;17.24;19.35;18.64;18.67;19.03;19.1;19.85;16.57;20.59;19.35;21.55;18.1;19.45;18.41;17.93;16.95;18.1;19.97;18.1;18.43;16.9;19.42;18.25;17.2;18.19;16.64;19.12;18.33;17.7;17.41;19.69;16.87;18.45;19.51;16.96;17.5;18.59;18.46;18.32;18.01;19.31;19.58;16.34;21.15;17.73;19.2;18.88;18.4;20.6;21.16;19.39;19.01;20.33;16.37;19.83;18.84;21.07;16.46;18.07;19.71;19.55;18
1986;10;19.82;20.2;17.51;19.48;19.12;19.03;17.98;20.7;21.01;17.45;19.81;19.23;19;18.55;19.39;18.99;19.81;17.97;19.75;19.16;18.95;19.68;19.56;20.06;17.37;21.15;19.64;21.6;18.65;19.69;18.93;18.49;17.82;18.65;20.21;18.65;18.79;17.74;20.06;18.78;18.01;18.77;17.55;19.49;18.66;18.38;18.11;20.79;17.62;18.83;20.11;17.82;18.24;18.98;19.04;18.99;18.62;19.66;20.32;17.18;21.15;18.18;19.56;19.48;18.91;20.75;21.27;19.65;19.7;20.54;17.25;20.43;19.19;21.08;17.31;18.76;19.93;20.16;18.58
