ANO;MÊS;5100102 - Acorizal;5100201 - Água Boa;5100250 - Alta Floresta;5100300 - Alto Araguaia;5100359 - Alto Boa Vista;5100409 - Alto Garças;5100508 - Alto Paraguai;5100607 - Alto Taquari;5100805 - Apiacás;5101001 - Araguaiana;5101209 - Araguainha;5101258 - Araputanga;5101308 - Arenápolis;5101407 - Aripuanã;5101605 - Barão de Melgaço;5101704 - Barra do Bugres;5101803 - Barra do Garças;5101852 - Bom Jesus do Araguaia;5101902 - Brasnorte;5102504 - Cáceres;5102603 - Campinápolis;5102637 - Campo Novo do Parecis;5102678 - Campo Verde;5102686 - Campos de Júlio;5102694 - Canabrava do Norte;5102702 - Canarana;5102793 - Carlinda;5102850 - Castanheira;5103007 - Chapada dos Guimarães;5103056 - Cláudia;5103106 - Cocalinho;5103205 - Colíder;5103254 - Colniza;5103304 - Comodoro;5103353 - Confresa;5103361 - Conquista D'Oeste;5103379 - Cotriguaçu;5103403 - Cuiabá;5103437 - Curvelândia;5103452 - Denise;5103502 - Diamantino;5103601 - Dom Aquino;5103700 - Feliz Natal;5103809 - Figueirópolis D'Oeste;5103858 - Gaúcha do Norte;5103908 - General Carneiro;5103957 - Glória D'Oeste;5104104 - Guarantã do Norte;5104203 - Guiratinga;5104500 - Indiavaí;5104526 - Ipiranga do Norte;5104542 - Itanhangá;5104559 - Itaúba;5104609 - Itiquira;5104807 - Jaciara;5104906 - Jangada;5105002 - Jauru;5105101 - Juara;5105150 - Juína;5105176 - Juruena;5105200 - Juscimeira;5105234 - Lambari D'Oeste;5105259 - Lucas do Rio Verde;5105309 - Luciara;5105507 - Vila Bela da Santíssima Trindade;5105580 - Marcelândia;5105606 - Matupá;5105622 - Mirassol d'Oeste;5105903 - Nobres;5106000 - Nortelândia;5106109 - Nossa Senhora do Livramento;5106158 - Nova Bandeirantes;5106174 - Nova Nazaré;5106182 - Nova Lacerda;5106190 - Nova Santa Helena;5106208 - Nova Brasilândia;5106216 - Nova Canaã do Norte;5106224 - Nova Mutum;5106232 - Nova Olímpia;5106240 - Nova Ubiratã;5106257 - Nova Xavantina;5106265 - Novo Mundo;5106273 - Novo Horizonte do Norte;5106281 - Novo São Joaquim;5106299 - Paranaíta;5106307 - Paranatinga;5106315 - Novo Santo Antônio;5106372 - Pedra Preta;5106422 - Peixoto de Azevedo;5106455 - Planalto da Serra;5106505 - Poconé;5106653 - Pontal do Araguaia;5106703 - Ponte Branca;5106752 - Pontes e Lacerda;5106778 - Porto Alegre do Norte;5106802 - Porto dos Gaúchos;5106828 - Porto Esperidião;5106851 - Porto Estrela;5107008 - Poxoréu;5107040 - Primavera do Leste;5107065 - Querência;5107107 - São José dos Quatro Marcos;5107156 - Reserva do Cabaçal;5107180 - Ribeirão Cascalheira;5107198 - Ribeirãozinho;5107206 - Rio Branco;5107248 - Santa Carmem;5107263 - Santo Afonso;5107297 - São José do Povo;5107305 - São José do Rio Claro;5107354 - São José do Xingu;5107404 - São Pedro da Cipa;5107578 - Rondolândia;5107602 - Rondonópolis;5107701 - Rosário Oeste;5107743 - Santa Cruz do Xingu;5107750 - Salto do Céu;5107768 - Santa Rita do Trivelato;5107776 - Santa Terezinha;5107792 - Santo Antônio do Leste;5107800 - Santo Antônio do Leverger;5107859 - São Félix do Araguaia;5107875 - Sapezal;5107883 - Serra Nova Dourada;5107909 - Sinop;5107925 - Sorriso;5107941 - Tabaporã;5107958 - Tangará da Serra;5108006 - Tapurah;5108055 - Terra Nova do Norte;5108105 - Tesouro;5108204 - Torixoréu;5108303 - União do Sul;5108352 - Vale de São Domingos;5108402 - Várzea Grande;5108501 - Vera;5108600 - Vila Rica;5108808 - Nova Guarita;5108857 - Nova Marilândia;5108907 - Nova Maringá;5108956 - Nova Monte Verde
1986;1;21.83;20.72;21.02;20.22;20.91;20.28;21.47;19.92;21.43;21.05;20.32;21.46;21.3;21.32;22.26;21.43;20.74;21.06;20.61;22.26;20.4;20.45;20.58;20.31;21.02;20.93;21.16;21.3;21.16;20.74;21.25;20.98;21.45;20.52;20.88;20.61;21.35;21.48;22;21.68;21.04;20.63;20.74;21.33;20.78;20.49;22.1;20.4;20.46;21.33;20.71;20.52;20.8;21.18;21.03;21.81;21.33;20.86;20.96;21.35;21.22;21.89;20.68;21.52;21.05;20.7;20.53;22.1;21.16;21.3;22.14;21.28;21.06;20.5;20.8;20.71;20.92;20.74;21.7;20.66;20.79;20.96;20.8;20.22;21.15;20.59;21.53;20.63;20.61;20.46;22.5;20.69;20.32;21.32;21.16;20.63;21.88;21.85;20.39;20.03;20.82;21.95;20.82;21.13;20.58;21.6;20.72;21.23;21.1;20.59;20.83;20.97;21.2;21.05;21.23;20.72;21.22;20.65;21.13;20.12;21.84;21.15;20.43;21.19;20.75;20.67;20.75;20.93;20.52;20.91;20.46;20.6;20.75;20.88;22.16;20.63;20.73;21.07;21.23;20.52;21.04
1986;2;21.76;20.78;21.02;20.28;20.91;20.32;21.4;19.99;21.45;21.17;20.44;21.39;21.24;21.38;22.27;21.38;20.84;21.09;20.67;22.25;20.43;20.43;20.55;20.35;20.99;21.01;21.18;21.38;21.11;20.8;21.32;21.02;21.5;20.62;20.81;20.61;21.38;21.41;21.98;21.61;20.99;20.6;20.83;21.24;20.87;20.51;22.04;20.41;20.48;21.24;20.75;20.58;20.84;21.17;20.98;21.75;21.24;20.9;21.06;21.38;21.15;21.87;20.71;21.48;21.07;20.76;20.54;22.04;21.11;21.24;22.13;21.28;21.16;20.56;20.85;20.69;20.95;20.73;21.64;20.73;20.88;20.97;20.86;20.25;21.13;20.64;21.54;20.61;20.62;20.47;22.55;20.77;20.44;21.28;21.1;20.68;21.8;21.82;20.38;20.04;20.89;21.89;20.8;21.19;20.7;21.54;20.8;21.16;21.03;20.59;20.81;20.91;21.3;21;21.18;20.65;21.18;20.66;21.09;20.14;21.82;21.14;20.46;21.2;20.8;20.7;20.78;20.9;20.57;20.93;20.47;20.71;20.87;20.82;22.15;20.67;20.67;21.09;21.16;20.55;21.01
1986;3;21.35;20.5;21.11;19.71;20.81;19.83;21.08;19.4;21.63;20.8;19.92;20.89;20.93;21.42;21.68;20.95;20.42;20.95;20.48;21.67;20.11;20.14;20.09;20.06;20.93;20.78;21.27;21.35;20.72;20.75;21.11;21.05;21.63;20.33;20.85;20.19;21.53;21.02;21.52;21.28;20.68;20.09;20.7;20.73;20.64;20.04;21.53;20.47;20.02;20.73;20.63;20.39;20.83;20.6;20.49;21.35;20.73;20.86;20.95;21.41;20.66;21.42;20.49;21.5;20.52;20.75;20.61;21.53;20.79;20.93;21.63;21.43;20.86;20.16;20.86;20.33;20.99;20.45;21.28;20.49;20.54;21.06;20.79;19.82;21.24;20.37;21.44;20.14;20.67;20.1;21.94;20.3;19.92;20.71;21.1;20.56;21.21;21.41;19.92;19.59;20.73;21.39;20.33;21;20.19;21.05;20.7;20.84;20.61;20.3;20.85;20.4;21.28;20.51;20.82;20.76;20.74;20.33;21.13;19.77;21.27;21.1;20.21;21.08;20.74;20.51;20.76;20.5;20.32;20.99;20.02;20.22;20.79;20.34;21.66;20.51;20.73;21.16;20.84;20.31;21.12
1986;4;19.95;19.05;20.17;18.31;19.5;18.47;19.65;18;20.9;19.4;18.55;19.19;19.51;20.45;20.05;19.32;18.96;19.63;19.14;19.79;18.66;18.69;18.7;18.51;19.69;19.37;20.35;20.3;19.37;19.5;19.84;19.96;20.71;18.82;19.78;18.53;20.62;19.63;19.8;19.78;19.29;18.67;19.35;19.02;19.19;18.6;19.81;19.59;18.66;19.02;19.27;18.99;19.64;19.17;19.05;19.81;19.02;19.71;19.74;20.44;19.21;19.72;19.12;20.42;18.74;19.57;19.74;19.81;19.46;19.51;20.03;20.53;19.44;18.52;19.7;19.02;19.9;19.11;19.73;19.1;19.06;20.21;19.62;18.36;20.38;18.98;20.25;18.78;19.66;18.83;20.11;18.86;18.55;18.88;19.96;19.24;19.37;19.73;18.52;18.19;19.34;19.71;18.64;19.68;18.83;19.35;19.38;19.38;19.24;18.93;19.71;18.97;20.29;19.12;19.42;19.78;19.09;18.99;20.17;18.35;19.75;19.89;18.75;19.8;19.47;19.16;19.58;18.9;18.91;19.95;18.61;18.84;19.45;18.65;20.09;19.16;19.77;20.14;19.38;18.94;20.21
1986;5;17.83;16.7;17.82;16.29;17.19;16.36;17.11;15.98;19.12;17.02;16.33;16.87;16.93;18.38;17.74;16.86;16.45;17.38;16.75;17.22;16.34;16.37;16.68;16.31;17.45;17.04;18;17.95;17.3;17;17.77;17.48;18.85;16.61;17.59;16.41;18.55;17.58;17.16;17.14;16.83;16.6;16.72;16.75;16.6;16.24;17.37;17.31;16.47;16.75;16.72;16.49;17.08;17.22;16.97;17.29;16.75;17.26;17.5;18.14;17.11;17.14;16.69;18.47;16.47;17.05;17.46;17.37;17.21;16.93;17.64;18.43;17.11;16.43;17.18;16.97;17.39;16.68;17.17;16.54;16.54;17.95;17.13;15.97;18.17;16.54;18.35;16.76;17.26;16.79;17.57;16.32;16.33;16.56;17.82;16.71;16.96;17.05;16.34;16.02;16.83;17.33;16.35;17.53;16.56;16.99;16.82;16.85;17.13;16.44;17.31;16.9;18.35;17.12;17.14;17.43;16.71;16.64;18.14;16.11;17.59;17.68;16.5;17.67;16.92;16.67;17.01;16.52;16.45;17.55;16.35;16.52;16.8;16.44;17.7;16.61;17.57;17.75;16.85;16.47;17.95
1986;6;16.43;15.45;16.03;15.13;15.61;15.19;15.54;14.82;17.29;15.62;15;15.41;15.37;16.58;16.22;15.33;15.07;15.97;15.06;15.49;15.12;14.9;15.46;14.87;15.83;15.59;16.22;16.2;15.97;15.2;16.58;15.74;17.04;14.96;15.85;15.07;16.78;16.22;15.43;15.51;15.3;15.36;14.79;15.35;14.83;14.99;15.79;15.39;15.27;15.35;15.05;14.78;15.33;16.02;15.71;15.66;15.35;15.55;15.71;16.38;15.85;15.46;15.07;17.14;14.87;14.98;15.55;15.79;15.76;15.37;16.07;16.67;15.83;14.95;15.34;15.67;15.66;15.08;15.54;14.81;15.2;16.18;15.46;14.79;16.33;14.94;17.27;15.63;15.25;15.53;15.86;14.91;15;15.03;16.22;15;15.44;15.28;15.19;14.91;15.01;15.76;15.01;16.22;15.21;15.49;15;15.34;15.93;14.75;15.25;15.64;16.63;15.94;15.68;15.42;15.27;15.11;16.62;14.98;16.2;16.06;15.02;16.36;15.17;15.03;15.3;15.12;14.74;15.78;15.15;15.14;14.7;15.11;16.14;14.93;15.75;16.06;15.34;14.77;16.14
1986;7;16.6;15.51;15.75;15.27;15.23;15.33;15.46;14.93;16.85;15.67;15.11;15.3;15.24;16.28;16.31;15.24;15.09;15.64;14.81;15.44;15.22;14.86;15.6;14.94;15.46;15.28;16.01;15.9;16.12;14.75;16.54;15.51;16.71;14.82;15.44;15.18;16.45;16.43;15.19;15.39;15.23;15.4;14.17;15.29;14.29;14.98;15.57;14.97;15.38;15.29;14.79;14.53;15.01;16.2;15.85;15.7;15.29;15.28;15.39;16.05;15.9;15.22;14.92;16.95;14.8;14.31;15.11;15.57;15.75;15.24;16.14;16.36;15.81;14.98;14.95;15.77;15.43;14.95;15.35;14.36;15.21;15.95;15.2;14.82;15.99;14.63;17.13;15.78;14.65;15.66;15.86;14.92;15.11;14.97;15.9;14.71;15.32;15.1;15.23;15;14.42;15.52;15.04;15.96;15.32;15.32;14.48;15.24;15.98;14.54;14.6;15.62;16.3;16.03;15.73;14.77;15.17;14.99;16.27;15.12;16.33;15.65;14.97;16.13;14.8;14.79;15.02;15.13;14.5;15.53;15.18;15.23;13.91;15.19;16.27;14.59;15.2;15.94;15.24;14.51;15.86
1986;8;19.48;17.85;18.12;17.58;17.37;17.71;18.33;17.16;18.96;17.96;17.42;18.17;18.08;18.74;19.07;18.01;17.45;17.81;17.37;18.14;17.66;17.43;18.37;17.58;17.59;17.48;18.62;18.43;18.97;17.2;18.79;18.15;19.15;17.56;17.57;17.97;18.67;19.28;17.98;18.23;18.06;18.2;16.54;18.21;16.56;17.5;18.45;17.44;17.84;18.21;17.5;17.19;17.53;18.76;18.65;18.53;18.21;17.73;18.01;18.43;18.7;17.99;17.7;18.91;17.63;16.68;17.57;18.45;18.67;18.08;18.92;18.56;18.12;17.83;17.49;18.56;17.93;17.77;18.08;16.86;17.54;18.56;17.68;17.36;18.3;17.08;19.26;18.29;17.04;18.38;18.56;17.29;17.42;17.83;18.03;17.28;18.22;17.87;17.89;17.63;16.6;18.4;17.72;18.12;17.62;18.15;16.9;18.03;18.72;17.24;16.83;18.42;18.99;18.71;18.57;16.95;17.84;17.8;18.17;17.65;19.12;17.77;17.51;18.27;17.34;17.5;17.46;17.77;17.18;18.23;17.73;17.55;16.18;18.03;19.05;17.26;17.19;18.72;18.03;17.11;18.11
1986;9;21.82;20.5;20.5;20.05;20.27;20.19;20.87;19.66;21.24;20.67;20.01;20.7;20.64;20.97;21.57;20.57;20.17;20.69;19.83;20.8;20.23;19.75;20.67;19.72;20.5;20.36;21.03;20.85;21.27;19.93;21.51;20.71;21.26;19.74;20.45;20.2;20.94;21.57;20.75;20.86;20.54;20.58;19.52;20.67;19.58;20.1;21.11;20.08;20.34;20.67;20.14;19.77;20.12;21.18;20.99;21.1;20.67;20.16;20.28;20.82;21.14;20.74;20.32;21.66;20.09;19.62;20.22;21.11;21.08;20.64;21.45;20.82;20.84;20;20.19;20.89;20.38;20.34;20.79;19.71;20.29;21.05;20.2;19.92;20.68;19.85;21.98;20.73;19.9;20.71;21.15;20.02;20.01;20.36;20.89;19.85;20.83;20.64;20.34;20.02;19.67;21.05;20.08;20.95;20.26;20.73;19.75;20.58;21.24;19.81;19.9;20.88;21.05;21.16;21;19.92;20.36;20.36;20.96;20.12;21.54;20.69;19.76;21.07;20.01;20.16;19.97;20.2;19.8;20.83;20.26;20.17;19.26;20.4;21.54;20.01;20.08;21.24;20.58;19.65;20.41
1986;10;22.07;21.65;21.39;20.24;21.73;20.51;21.58;19.86;21.98;21.91;20.55;21.28;21.38;21.5;22.14;21.3;21.34;22.12;20.64;21.79;21.19;20.4;20.94;20.17;21.97;21.81;21.76;21.55;21.55;21.02;22.68;21.54;21.67;20.3;21.9;20.4;21.7;21.77;21.83;21.74;21.18;20.96;20.98;21.11;21.2;20.92;21.95;20.97;20.81;21.11;21.06;20.65;21.12;21.3;21.22;21.82;21.11;21.02;20.94;21.56;21.48;21.74;21.05;23.15;20.64;21.03;21.12;21.95;21.59;21.38;22.06;21.63;22.11;20.25;21.24;21.29;21.29;21.05;21.72;20.99;21.59;21.67;21;20.79;21.54;21.04;23.26;20.96;21.12;21.17;22.08;21.09;20.55;20.94;22.35;20.78;21.56;21.69;20.88;20.59;21.31;21.84;20.57;22.33;20.89;21.42;20.97;21.28;21.63;20.63;21.4;21.3;21.28;21.41;21.51;21.36;21.05;21.09;22.49;20.82;21.9;22.18;20.38;22.47;21.03;21.03;20.94;20.79;20.65;21.6;20.9;20.95;20.92;20.67;22.12;20.98;21.61;21.89;21.28;20.5;21.32
