ANO;MÊS;2600054 - Abreu e Lima;2600104 - Afogados da Ingazeira;2600203 - Afrânio;2600302 - Agrestina;2600401 - Água Preta;2600500 - Águas Belas;2600609 - Alagoinha;2600708 - Aliança;2600807 - Altinho;2600906 - Amaraji;2601003 - Angelim;2601052 - Araçoiaba;2601102 - Araripina;2601201 - Arcoverde;2601300 - Barra de Guabiraba;2601409 - Barreiros;2601508 - Belém de Maria;2601607 - Belém do São Francisco;2601706 - Belo Jardim;2601805 - Betânia;2601904 - Bezerros;2602001 - Bodocó;2602100 - Bom Conselho;2602209 - Bom Jardim;2602308 - Bonito;2602407 - Brejão;2602506 - Brejinho;2602605 - Brejo da Madre de Deus;2602704 - Buenos Aires;2602803 - Buíque;2602902 - Cabo de Santo Agostinho;2603009 - Cabrobó;2603108 - Cachoeirinha;2603207 - Caetés;2603306 - Calçado;2603405 - Calumbi;2603454 - Camaragibe;2603504 - Camocim de São Félix;2603603 - Camutanga;2603702 - Canhotinho;2603801 - Capoeiras;2603900 - Carnaíba;2603926 - Carnaubeira da Penha;2604007 - Carpina;2604106 - Caruaru;2604155 - Casinhas;2604205 - Catende;2604304 - Cedro;2604403 - Chã de Alegria;2604502 - Chã Grande;2604601 - Condado;2604700 - Correntes;2604809 - Cortês;2604908 - Cumaru;2605004 - Cupira;2605103 - Custódia;2605152 - Dormentes;2605202 - Escada;2605301 - Exu;2605400 - Feira Nova;2605459 - Fernando de Noronha;2605509 - Ferreiros;2605608 - Flores;2605707 - Floresta;2605806 - Frei Miguelinho;2605905 - Gameleira;2606002 - Garanhuns;2606101 - Glória do Goitá;2606200 - Goiana;2606309 - Granito;2606408 - Gravatá;2606507 - Iati;2606606 - Ibimirim;2606705 - Ibirajuba;2606804 - Igarassu;2606903 - Iguaracy;2607000 - Inajá;2607109 - Ingazeira;2607208 - Ipojuca;2607307 - Ipubi;2607406 - Itacuruba;2607505 - Itaíba;2607604 - Ilha de Itamaracá;2607653 - Itambé;2607703 - Itapetim;2607752 - Itapissuma;2607802 - Itaquitinga;2607901 - Jaboatão dos Guararapes;2607950 - Jaqueira;2608008 - Jataúba;2608057 - Jatobá;2608107 - João Alfredo;2608206 - Joaquim Nabuco;2608255 - Jucati;2608305 - Jupi;2608404 - Jurema;2608453 - Lagoa do Carro;2608503 - Lagoa de Itaenga;2608602 - Lagoa do Ouro;2608701 - Lagoa dos Gatos;2608750 - Lagoa Grande;2608800 - Lajedo;2608909 - Limoeiro;2609006 - Macaparana;2609105 - Machados;2609154 - Manari;2609204 - Maraial;2609303 - Mirandiba;2609402 - Moreno;2609501 - Nazaré da Mata;2609600 - Olinda;2609709 - Orobó;2609808 - Orocó;2609907 - Ouricuri;2610004 - Palmares;2610103 - Palmeirina;2610202 - Panelas;2610301 - Paranatama;2610400 - Parnamirim;2610509 - Passira;2610608 - Paudalho;2610707 - Paulista;2610806 - Pedra;2610905 - Pesqueira;2611002 - Petrolândia;2611101 - Petrolina;2611200 - Poção;2611309 - Pombos;2611408 - Primavera;2611507 - Quipapá;2611533 - Quixaba;2611606 - Recife;2611705 - Riacho das Almas;2611804 - Ribeirão;2611903 - Rio Formoso;2612000 - Sairé;2612109 - Salgadinho;2612208 - Salgueiro;2612307 - Saloá;2612406 - Sanharó;2612455 - Santa Cruz;2612471 - Santa Cruz da Baixa Verde;2612505 - Santa Cruz do Capibaribe;2612554 - Santa Filomena;2612604 - Santa Maria da Boa Vista;2612703 - Santa Maria do Cambucá;2612802 - Santa Terezinha;2612901 - São Benedito do Sul;2613008 - São Bento do Una;2613107 - São Caitano;2613206 - São João;2613305 - São Joaquim do Monte;2613404 - São José da Coroa Grande;2613503 - São José do Belmonte;2613602 - São José do Egito;2613701 - São Lourenço da Mata;2613800 - São Vicente Férrer;2613909 - Serra Talhada;2614006 - Serrita;2614105 - Sertânia;2614204 - Sirinhaém;2614303 - Moreilândia;2614402 - Solidão;2614501 - Surubim;2614600 - Tabira;2614709 - Tacaimbó;2614808 - Tacaratu;2614857 - Tamandaré;2615003 - Taquaritinga do Norte;2615102 - Terezinha;2615201 - Terra Nova;2615300 - Timbaúba;2615409 - Toritama;2615508 - Tracunhaém;2615607 - Trindade;2615706 - Triunfo;2615805 - Tupanatinga;2615904 - Tuparetama;2616001 - Venturosa;2616100 - Verdejante;2616183 - Vertente do Lério;2616209 - Vertentes;2616308 - Vicência;2616407 - Vitória de Santo Antão;2616506 - Xexéu
1986;1;22.77;19.04;20.41;19.02;21.4;19.73;18.47;21.75;18.74;20.98;18.91;21.69;20.11;18.77;20.06;21.79;19.54;20.73;18.87;19.65;19.67;19.52;19.27;20.46;19.54;18.52;19.28;19.01;21.21;19.05;23;20.38;18.74;18.83;18.82;19.4;21.64;19.54;21.75;18.82;18.65;19.16;20.29;21.07;19.18;20.66;19.79;19.56;21.64;20.15;21.75;19.47;20.06;19.79;19.02;19.19;20.25;21.81;19.24;20.94;25.78;21.75;19.34;20.07;19.79;21.4;18.52;20.94;22.74;19.68;20.15;19.53;19.58;18.74;22.77;19.04;19.84;18.95;21.98;19.5;20.69;19.73;23.73;21.84;19.23;22.74;22.74;22.8;19.79;18.68;20.75;20.46;20.06;18.49;18.49;19.16;21.07;21.64;19.02;19.79;20.56;18.82;21.07;20.66;20.66;19.8;20.04;20.29;21.64;21.75;23.96;20.66;20.39;19.77;20.42;18.91;19.16;18.83;20.36;20.25;21.69;22.8;18.81;18.57;20.52;20.57;18.57;20.98;20.98;19.29;19.17;22.8;19.79;21.02;22.39;20.15;20.25;20.05;18.83;18.57;20.21;19.52;19.28;20.19;20.7;19.56;19.28;19.29;18.45;19.18;18.52;19.54;22.8;19.79;19.23;21.64;20.66;19.87;19.72;18.98;21.98;19.18;19.06;20.01;19.06;18.87;20.31;22.39;19.28;18.83;20.06;21.21;19.34;21.75;19.8;19.34;19.05;18.95;18.65;19.79;20.22;19.56;21.21;20.98;20.78
1986;2;23.03;19.16;20.36;19.3;21.69;19.9;18.66;21.91;18.97;21.25;19.19;21.9;19.96;18.91;20.36;22.07;19.83;20.79;19.08;19.71;19.92;19.4;19.5;20.64;19.83;18.78;19.38;19.19;21.35;19.21;23.28;20.39;18.97;19.05;19.08;19.48;21.88;19.83;21.91;19.08;18.85;19.26;20.3;21.27;19.42;20.8;20.09;19.44;21.88;20.42;21.91;19.75;20.36;20.01;19.3;19.29;20.21;22.07;19.07;21.18;26.16;21.91;19.42;20.12;20.01;21.69;18.78;21.18;22.98;19.61;20.42;19.72;19.68;18.97;23.03;19.16;19.92;19.09;22.27;19.34;20.75;19.9;24.05;22.01;19.35;22.98;22.98;23.07;20.09;18.84;20.86;20.64;20.36;18.71;18.71;19.45;21.27;21.88;19.29;20.09;20.57;19.08;21.27;20.8;20.8;19.91;20.34;20.3;21.88;21.91;24.26;20.8;20.41;19.68;20.72;19.19;19.45;19.05;20.35;20.48;21.9;23.07;18.99;18.74;20.58;20.59;18.74;21.25;21.25;19.6;19.27;23.07;20.01;21.32;22.67;20.42;20.48;20.02;19.05;18.75;20.18;19.58;19.43;20.13;20.74;19.72;19.38;19.6;18.65;19.42;18.78;19.83;23.07;19.73;19.35;21.88;20.8;19.88;19.65;19.11;22.27;19.08;19.18;20.18;19.18;19.08;20.39;22.67;19.43;19.05;20.03;21.35;19.54;21.91;19.7;19.42;19.21;19.09;18.85;19.73;20.35;19.72;21.35;21.25;21.08
1986;3;23.29;19.21;20.48;19.59;21.96;20.05;18.9;22.21;19.26;21.52;19.42;22.18;20.17;19.06;20.64;22.33;20.12;20.79;19.37;19.74;20.21;19.56;19.7;20.96;20.12;18.98;19.51;19.48;21.68;19.36;23.52;20.4;19.26;19.24;19.34;19.48;22.15;20.12;22.21;19.34;19.07;19.28;20.32;21.57;19.72;21.15;20.36;19.58;22.15;20.71;22.21;19.98;20.64;20.31;19.59;19.36;20.29;22.34;19.29;21.46;26.46;22.21;19.43;20.16;20.31;21.96;18.98;21.46;23.27;19.71;20.71;19.9;19.77;19.26;23.29;19.21;20;19.19;22.53;19.55;20.76;20.05;24.32;22.35;19.51;23.27;23.27;23.32;20.36;19.12;20.9;20.96;20.64;18.96;18.96;19.72;21.57;22.15;19.5;20.36;20.55;19.34;21.57;21.15;21.15;20.01;20.6;20.32;22.15;22.21;24.49;21.15;20.41;19.82;20.99;19.42;19.72;19.24;20.37;20.78;22.18;23.32;19.18;18.98;20.61;20.58;18.98;21.52;21.52;19.85;19.29;23.32;20.31;21.58;22.93;20.71;20.78;20.07;19.24;19.03;20.24;19.57;19.71;20.26;20.71;20.03;19.51;19.85;18.93;19.72;18.98;20.12;23.32;19.8;19.51;22.15;21.15;19.9;19.74;19.22;22.53;19.22;19.24;20.5;19.24;19.37;20.46;22.93;19.71;19.24;20.08;21.68;19.84;22.21;19.86;19.43;19.36;19.19;19.07;19.8;20.68;20.03;21.68;21.52;21.34
1986;4;23.15;18.92;20.04;19.47;21.94;19.65;18.68;21.95;19.1;21.43;19.29;21.99;19.67;18.81;20.61;22.33;20.04;20.21;19.18;19.37;20.07;18.98;19.4;20.69;20.04;18.81;19.2;19.26;21.38;19.05;23.44;19.78;19.1;18.98;19.19;19.13;22.03;20.04;21.95;19.19;18.83;18.97;19.76;21.34;19.55;20.82;20.3;19.03;22.03;20.59;21.95;19.81;20.61;20.09;19.47;19.05;19.74;22.26;18.75;21.3;26.35;21.95;19.07;19.7;20.09;21.94;18.81;21.3;23.08;19.09;20.59;19.52;19.41;19.1;23.15;18.92;19.6;18.89;22.49;19.02;20.2;19.65;24.21;22.05;19.21;23.08;23.08;23.22;20.3;18.91;20.36;20.69;20.61;18.77;18.77;19.62;21.34;22.03;19.28;20.3;19.97;19.19;21.34;20.82;20.82;19.61;20.55;19.76;22.03;21.95;24.42;20.82;19.77;19.22;20.98;19.29;19.62;18.98;19.72;20.57;21.99;23.22;18.89;18.76;20.09;20.04;18.76;21.43;21.43;19.77;18.98;23.22;20.09;21.55;22.91;20.59;20.57;19.52;18.98;18.82;19.61;19.18;19.46;19.71;20.1;19.77;19.2;19.77;18.73;19.55;18.81;20.04;23.33;19.27;19.21;22.03;20.82;19.44;19.15;18.94;22.49;18.65;18.93;20.23;18.93;19.18;19.99;22.91;19.46;18.98;19.46;21.38;19.62;21.95;19.3;19.07;19.05;18.89;18.83;19.27;20.37;19.77;21.38;21.43;21.33
1986;5;22.27;17.55;18.77;18.04;20.76;18.15;17.32;20.85;17.7;20.19;17.88;20.88;18.54;17.43;19.22;21.19;18.63;18.79;17.8;17.98;18.67;17.7;17.96;19.35;18.63;17.43;17.9;17.9;20.17;17.64;22.55;18.42;17.7;17.58;17.79;17.75;20.9;18.63;20.85;17.79;17.45;17.61;18.37;20.11;18.13;19.48;18.89;17.69;20.9;19.22;20.85;18.4;19.22;18.72;18.04;17.66;18.47;21.17;17.46;20.06;25.84;20.85;17.71;18.28;18.72;20.76;17.43;20.06;22.22;17.79;19.22;18.05;17.97;17.7;22.27;17.55;18.16;17.55;21.43;17.79;18.77;18.15;23.6;20.96;17.9;22.22;22.22;22.32;18.89;17.57;18.82;19.35;19.22;17.4;17.4;18.19;20.11;20.9;17.88;18.89;18.62;17.79;20.11;19.48;19.48;18.13;19.15;18.37;20.9;20.85;23.74;19.48;18.44;17.98;19.6;17.88;18.19;17.58;18.41;19.22;20.88;22.32;17.5;17.41;18.65;18.67;17.41;20.19;20.19;18.33;17.63;22.32;18.72;20.33;21.92;19.22;19.22;18.15;17.58;17.47;18.34;17.81;18.11;18.49;18.73;18.39;17.9;18.33;17.37;18.13;17.43;18.63;22.4;17.91;17.9;20.9;19.48;18.06;17.8;17.56;21.43;17.31;17.59;18.87;17.59;17.8;18.49;21.92;18.11;17.58;18.11;20.17;18.22;20.85;18.09;17.71;17.64;17.55;17.45;17.91;19.02;18.39;20.17;20.19;19.97
1986;6;21.26;16.64;17.69;16.69;19.57;16.8;16.16;19.73;16.43;18.96;16.55;19.73;17.6;16.39;17.9;20.04;17.29;17.71;16.54;17;17.35;16.76;16.61;18.04;17.29;16.15;17.04;16.66;18.96;16.47;21.52;17.44;16.43;16.31;16.49;16.82;19.74;17.29;19.73;16.49;16.24;16.7;17.39;18.89;16.8;18.18;17.56;16.78;19.74;17.9;19.73;17.05;17.9;17.4;16.69;16.67;17.42;20.01;16.54;18.82;24.71;19.73;16.8;17.24;17.4;19.57;16.15;18.82;21.22;16.87;17.9;16.68;16.84;16.43;21.26;16.64;17.04;16.67;20.29;16.87;17.68;16.8;22.71;19.84;17.01;21.22;21.22;21.29;17.56;16.41;17.58;18.04;17.9;16.16;16.16;16.81;18.89;19.74;16.53;17.56;17.56;16.49;18.89;18.18;18.18;16.91;17.83;17.39;19.74;19.73;22.84;18.18;17.46;17.03;18.31;16.55;16.81;16.31;17.43;17.9;19.73;21.29;16.32;16.28;17.56;17.58;16.28;18.96;18.96;16.94;16.76;21.29;17.4;19.1;20.83;17.9;17.9;17.19;16.31;16.29;17.34;16.91;16.89;17.46;17.68;17.09;17.04;16.94;16.17;16.8;16.15;17.29;21.37;16.98;17.01;19.74;18.18;17.11;16.88;16.54;20.29;16.4;16.72;17.56;16.72;16.54;17.31;20.83;16.89;16.31;17.16;18.96;16.91;19.73;17.11;16.8;16.47;16.67;16.24;16.98;17.73;17.09;18.96;18.96;18.72
1986;7;20.49;15.92;17.12;15.86;18.79;15.98;15.35;18.93;15.6;18.18;15.76;18.95;17.09;15.6;17.11;19.26;16.49;17.08;15.72;16.33;16.54;16.2;15.81;17.23;16.49;15.36;16.33;15.83;18.15;15.68;20.76;16.86;15.6;15.53;15.68;16.17;18.96;16.49;18.93;15.68;15.44;16.01;16.8;18.09;15.97;17.37;16.76;16.24;18.96;17.11;18.93;16.26;17.11;16.59;15.86;15.92;16.87;19.25;15.97;18.03;23.78;18.93;16.16;16.58;16.59;18.79;15.36;18.03;20.45;16.29;17.11;15.87;16.08;15.6;20.49;15.92;16.31;15.93;19.53;16.32;17.03;15.98;21.96;19.04;16.28;20.45;20.45;20.53;16.76;15.58;16.86;17.23;17.11;15.36;15.36;16.01;18.09;18.96;15.74;16.76;17.02;15.68;18.09;17.37;17.37;16.15;17.04;16.8;18.96;18.93;22.1;17.37;16.88;16.47;17.51;15.76;16.01;15.53;16.87;17.1;18.95;20.53;15.52;15.47;16.9;17.01;15.47;18.18;18.18;16.17;16.08;20.53;16.59;18.32;20.07;17.11;17.1;16.62;15.53;15.47;16.79;16.31;16.1;16.9;17.11;16.28;16.33;16.17;15.35;15.97;15.36;16.49;20.6;16.42;16.28;18.96;17.37;16.51;16.31;15.77;19.53;15.82;16.01;16.76;16.01;15.72;16.57;20.07;16.1;15.53;16.58;18.15;16.08;18.93;16.55;16.16;15.68;15.93;15.44;16.42;16.93;16.28;18.15;18.18;17.92
1986;8;20.02;15.96;17.43;15.49;18.27;15.64;15.07;18.58;15.27;17.72;15.34;18.54;17.58;15.46;16.66;18.71;16.08;17.04;15.44;16.29;16.18;16.55;15.41;16.92;16.08;14.97;16.42;15.61;17.84;15.41;20.24;17.02;15.27;15.15;15.3;16.19;18.5;16.08;18.58;15.3;15.11;16.08;16.89;17.73;15.66;17.09;16.31;16.55;18.5;16.7;18.58;15.8;16.66;16.28;15.49;15.85;17.15;18.74;16.36;17.62;23.34;18.58;16.25;16.51;16.28;18.27;14.97;17.62;20;16.59;16.7;15.51;15.87;15.27;20.02;15.96;16.12;15.99;18.98;16.78;16.96;15.64;21.43;18.7;16.32;20;20;20.04;16.31;15.39;16.64;16.92;16.66;15.01;15.01;15.6;17.73;18.5;15.32;16.31;17.23;15.3;17.73;17.09;17.09;15.86;16.55;16.89;18.5;18.58;21.57;17.09;17.08;16.79;17.03;15.34;15.6;15.15;17.09;16.74;18.54;20.04;15.22;15.25;16.79;17.21;15.25;17.72;17.72;15.7;16.21;20.04;16.28;17.82;19.5;16.7;16.74;16.77;15.15;15.22;17.05;16.42;15.92;17.22;17.25;16.07;16.42;15.7;15.04;15.66;14.97;16.08;20.02;16.64;16.32;18.5;17.09;16.6;16.57;15.66;18.98;16.13;16.1;16.49;16.1;15.44;16.39;19.5;15.92;15.15;16.8;17.84;15.83;18.58;16.89;16.25;15.41;15.99;15.11;16.64;16.7;16.07;17.84;17.72;17.4
1986;9;20.16;16.66;18.81;15.78;18.38;16.28;15.48;18.84;15.59;17.92;15.62;18.79;19.11;16;16.87;18.81;16.32;18.09;15.79;17.12;16.46;17.86;15.88;17.22;16.32;15.31;17.09;15.99;18.13;15.98;20.35;18.21;15.59;15.58;15.61;17.01;18.74;16.32;18.84;15.61;15.53;16.85;17.99;18;15.98;17.42;16.54;17.78;18.74;16.94;18.84;16.12;16.87;16.6;15.78;16.53;18.5;18.9;17.69;17.88;23.54;18.84;17.11;17.39;16.6;18.38;15.31;17.88;20.13;17.88;16.94;16.07;16.57;15.59;20.16;16.66;16.88;16.61;19.06;18.21;17.97;16.28;21.43;18.96;16.91;20.13;20.13;20.19;16.54;15.81;17.52;17.22;16.87;15.35;15.35;15.85;18;18.74;15.68;16.54;18.46;15.61;18;17.42;17.42;16.57;16.75;17.99;18.74;18.84;21.64;17.42;18.3;18.17;17.22;15.62;15.85;15.58;18.34;17.01;18.79;20.19;15.7;15.68;17.74;18.43;15.68;17.92;17.92;15.93;17.02;20.19;16.6;17.96;19.54;16.94;17.01;17.9;15.58;15.61;18.36;17.37;16.33;18.62;18.42;16.45;17.09;15.93;15.4;15.98;15.31;16.32;20.03;17.8;16.91;18.74;17.42;17.61;17.81;16.27;19.06;17.39;16.82;16.83;16.82;15.79;17.21;19.54;16.33;15.58;18.03;18.13;16.18;18.84;18.32;17.11;15.98;16.61;15.53;17.8;17.07;16.45;18.13;17.92;17.58
1986;10;20.89;18;20.66;16.83;19.14;17.69;16.65;19.75;16.66;18.77;16.68;19.65;20.95;17.3;17.78;19.53;17.31;19.72;16.9;18.68;17.49;19.55;17.1;18.27;17.31;16.41;18.31;17.13;19.13;17.34;21.02;19.92;16.66;16.8;16.67;18.54;19.55;17.31;19.75;16.67;16.72;18.27;19.68;18.96;17.08;18.51;17.5;19.43;19.55;17.9;19.75;17.18;17.78;17.67;16.83;17.97;20.33;19.64;19.35;18.78;24.23;19.75;18.59;18.98;17.67;19.14;16.41;18.78;20.89;19.63;17.9;17.41;18.06;16.66;20.89;18;18.41;17.83;19.72;19.96;19.6;17.69;22.03;19.9;18.1;20.89;20.89;20.89;17.5;16.95;19.06;18.27;17.78;16.45;16.45;16.89;18.96;19.55;16.79;17.5;20.2;16.67;18.96;18.51;18.51;18.07;17.69;19.68;19.55;19.75;22.24;18.51;20.02;19.98;18.11;16.68;16.89;16.8;20.08;18.02;19.65;20.89;16.99;16.85;19.36;20.17;16.85;18.77;18.77;16.94;18.39;20.89;17.67;18.75;20.18;17.9;18.02;19.57;16.8;16.72;20.15;18.9;17.47;20.46;20.09;17.6;18.31;16.94;16.5;17.08;16.41;17.31;20.63;19.46;18.1;19.55;18.51;19.21;19.51;17.64;19.72;19.09;18.11;17.93;18.11;16.9;18.77;20.18;17.47;16.8;19.76;19.13;17.32;19.75;20.17;18.59;17.34;17.83;16.72;19.46;18.19;17.6;19.13;18.77;18.43
