ANO;MÊS;2400109 - Acari;2400208 - Açu;2400307 - Afonso Bezerra;2400406 - Água Nova;2400505 - Alexandria;2400604 - Almino Afonso;2400703 - Alto do Rodrigues;2400802 - Angicos;2400901 - Antônio Martins;2401008 - Apodi;2401107 - Areia Branca;2401206 - Arês;2401305 - Campo Grande;2401404 - Baía Formosa;2401453 - Baraúna;2401503 - Barcelona;2401602 - Bento Fernandes;2401651 - Bodó;2401701 - Bom Jesus;2401800 - Brejinho;2401859 - Caiçara do Norte;2401909 - Caiçara do Rio do Vento;2402006 - Caicó;2402105 - Campo Redondo;2402204 - Canguaretama;2402303 - Caraúbas;2402402 - Carnaúba dos Dantas;2402501 - Carnaubais;2402600 - Ceará-Mirim;2402709 - Cerro Corá;2402808 - Coronel Ezequiel;2402907 - Coronel João Pessoa;2403004 - Cruzeta;2403103 - Currais Novos;2403202 - Doutor Severiano;2403251 - Parnamirim;2403301 - Encanto;2403400 - Equador;2403509 - Espírito Santo;2403608 - Extremoz;2403707 - Felipe Guerra;2403756 - Fernando Pedroza;2403806 - Florânia;2403905 - Francisco Dantas;2404002 - Frutuoso Gomes;2404101 - Galinhos;2404200 - Goianinha;2404309 - Governador Dix-Sept Rosado;2404408 - Grossos;2404507 - Guamaré;2404606 - Ielmo Marinho;2404705 - Ipanguaçu;2404804 - Ipueira;2404853 - Itajá;2404903 - Itaú;2405009 - Jaçanã;2405108 - Jandaíra;2405207 - Janduís;2405306 - Januário Cicco;2405405 - Japi;2405504 - Jardim de Angicos;2405603 - Jardim de Piranhas;2405702 - Jardim do Seridó;2405801 - João Câmara;2405900 - João Dias;2406007 - José da Penha;2406106 - Jucurutu;2406155 - Jundiá;2406205 - Lagoa d'Anta;2406304 - Lagoa de Pedras;2406403 - Lagoa de Velhos;2406502 - Lagoa Nova;2406601 - Lagoa Salgada;2406700 - Lajes;2406809 - Lajes Pintadas;2406908 - Lucrécia;2407005 - Luís Gomes;2407104 - Macaíba;2407203 - Macau;2407252 - Major Sales;2407302 - Marcelino Vieira;2407401 - Martins;2407500 - Maxaranguape;2407609 - Messias Targino;2407708 - Montanhas;2407807 - Monte Alegre;2407906 - Monte das Gameleiras;2408003 - Mossoró;2408102 - Natal;2408201 - Nísia Floresta;2408300 - Nova Cruz;2408409 - Olho d'Água do Borges;2408508 - Ouro Branco;2408607 - Paraná;2408706 - Paraú;2408805 - Parazinho;2408904 - Parelhas;2408953 - Rio do Fogo;2409100 - Passa e Fica;2409209 - Passagem;2409308 - Patu;2409332 - Santa Maria;2409407 - Pau dos Ferros;2409506 - Pedra Grande;2409605 - Pedra Preta;2409704 - Pedro Avelino;2409803 - Pedro Velho;2409902 - Pendências;2410009 - Pilões;2410108 - Poço Branco;2410207 - Portalegre;2410256 - Porto do Mangue;2410306 - Serra Caiada;2410405 - Pureza;2410504 - Rafael Fernandes;2410603 - Rafael Godeiro;2410702 - Riacho da Cruz;2410801 - Riacho de Santana;2410900 - Riachuelo;2411007 - Rodolfo Fernandes;2411056 - Tibau;2411106 - Ruy Barbosa;2411205 - Santa Cruz;2411403 - Santana do Matos;2411429 - Santana do Seridó;2411502 - Santo Antônio;2411601 - São Bento do Norte;2411700 - São Bento do Trairí;2411809 - São Fernando;2411908 - São Francisco do Oeste;2412005 - São Gonçalo do Amarante;2412104 - São João do Sabugi;2412203 - São José de Mipibu;2412302 - São José do Campestre;2412401 - São José do Seridó;2412500 - São Miguel;2412559 - São Miguel do Gostoso;2412609 - São Paulo do Potengi;2412708 - São Pedro;2412807 - São Rafael;2412906 - São Tomé;2413003 - São Vicente;2413102 - Senador Elói de Souza;2413201 - Senador Georgino Avelino;2413300 - Serra de São Bento;2413359 - Serra do Mel;2413409 - Serra Negra do Norte;2413508 - Serrinha;2413557 - Serrinha dos Pintos;2413607 - Severiano Melo;2413706 - Sítio Novo;2413805 - Taboleiro Grande;2413904 - Taipu;2414001 - Tangará;2414100 - Tenente Ananias;2414159 - Tenente Laurentino Cruz;2414209 - Tibau do Sul;2414308 - Timbaúba dos Batistas;2414407 - Touros;2414456 - Triunfo Potiguar;2414506 - Umarizal;2414605 - Upanema;2414704 - Várzea;2414753 - Venha-Ver;2414803 - Vera Cruz;2414902 - Viçosa;2415008 - Vila Flor
1986;1;20.21;22;22.35;20.82;20.85;21.21;22.35;21.84;20.85;21.7;23.2;22.74;21.46;22.5;22.39;21.16;22.05;20.96;21.77;22.11;23.08;21.16;20.75;20.25;22.5;21.86;19.84;22.9;23.15;20.65;20.25;20.86;20.92;20.25;21.18;23.54;21.12;19.66;22.74;23.88;22.1;20.96;21.31;21.17;20.89;23.12;22.74;22.1;23.2;23.16;22.05;22.03;20.42;22.03;21.53;20.25;22.27;21.34;21.77;20.98;21.68;21.08;19.94;22.05;20.89;20.82;21.39;22.74;21.49;21.49;21.61;20.49;21.49;21.67;20.47;21.21;20.86;22.8;23.03;20.82;20.82;21.21;23.5;21.46;22.5;22.45;20.98;22.56;23.54;23.14;21.86;21.53;20.23;20.82;21.7;22.2;19.94;23.5;21.49;22.11;21.34;22.05;21.12;23.31;21.68;21.67;22.5;23.03;20.85;22.42;21.17;23.45;21.29;22.78;20.82;21.21;21.48;20.82;21.61;21.48;22.95;21.16;20.81;20.9;20.23;21.49;23.08;20.47;21.08;21.43;22.8;20.42;22.45;20.98;20.57;20.86;23.31;21.61;22.05;21.71;20.65;20.48;21.77;22.74;21.49;22.74;20.93;21.49;20.85;21.48;20.81;21.48;22.42;20.98;20.71;20.48;22.74;20.93;23.31;21.7;21.21;22;22.11;20.86;22.45;21.53;22.74
1986;2;20.2;21.92;22.34;20.67;20.74;21.12;22.34;21.83;20.74;21.53;23.25;22.9;21.35;22.64;22.3;21.14;22.1;20.98;21.79;22.2;23.23;21.14;20.68;20.24;22.64;21.74;19.87;22.93;23.32;20.65;20.24;20.67;20.83;20.24;20.97;23.77;20.96;19.72;22.9;24.15;21.98;20.98;21.24;21.04;20.81;23.26;22.9;21.98;23.25;23.3;22.07;21.98;20.39;21.98;21.43;20.24;22.33;21.24;21.79;20.97;21.71;20.97;19.95;22.1;20.81;20.67;21.3;22.9;21.5;21.5;21.61;20.52;21.5;21.7;20.44;21.12;20.67;22.92;23.11;20.67;20.67;21.12;23.72;21.35;22.64;22.56;20.97;22.51;23.77;23.33;21.94;21.43;20.23;20.67;21.62;22.28;19.95;23.72;21.5;22.2;21.24;22.07;20.96;23.48;21.71;21.7;22.64;23.11;20.74;22.49;21.04;23.56;21.29;22.9;20.67;21.12;21.34;20.67;21.61;21.34;22.93;21.14;20.79;20.88;20.23;21.5;23.23;20.44;20.97;21.25;22.92;20.39;22.56;20.97;20.53;20.67;23.48;21.61;22.07;21.65;20.65;20.44;21.79;22.9;21.5;22.73;20.84;21.5;20.74;21.34;20.79;21.34;22.49;20.97;20.55;20.44;22.9;20.84;23.48;21.62;21.12;21.92;22.2;20.67;22.56;21.43;22.9
1986;3;20.42;21.99;22.44;20.92;20.95;21.31;22.44;21.96;20.95;21.78;23.32;23.32;21.48;23.06;22.4;21.5;22.45;21.2;22.23;22.64;23.46;21.5;20.87;20.54;23.06;21.87;20.09;23;23.67;20.95;20.54;20.96;21.04;20.54;21.29;24.13;21.23;19.93;23.32;24.47;22.07;21.2;21.4;21.27;20.98;23.45;23.32;22.07;23.32;23.43;22.5;22.06;20.58;22.06;21.64;20.54;22.55;21.4;22.23;21.38;22.03;21.16;20.17;22.45;20.98;20.92;21.44;23.32;21.96;21.96;22;20.74;21.96;21.95;20.8;21.31;20.96;23.31;23.22;20.92;20.92;21.31;24.03;21.48;23.06;22.98;21.38;22.6;24.13;23.72;22.38;21.64;20.44;20.92;21.73;22.56;20.17;24.03;21.96;22.64;21.4;22.5;21.23;23.75;22.03;21.95;23.06;23.22;20.95;22.88;21.27;23.64;21.69;23.25;20.92;21.31;21.59;20.92;22;21.59;23;21.5;21.15;21.07;20.44;21.96;23.46;20.8;21.16;21.55;23.31;20.58;22.98;21.38;20.74;20.96;23.75;22;22.5;21.76;20.95;20.66;22.23;23.32;21.96;22.79;21;21.96;20.95;21.59;21.15;21.59;22.88;21.38;20.78;20.66;23.32;21;23.75;21.73;21.31;21.99;22.64;20.96;22.98;21.64;23.32
1986;4;20.23;21.81;22.24;20.52;20.59;21.04;22.24;21.78;20.59;21.54;23.12;23.07;21.27;22.78;22.22;21.38;22.27;21.08;21.98;22.38;23.29;21.38;20.61;20.4;22.78;21.68;19.94;22.8;23.46;20.82;20.4;20.52;20.84;20.4;20.91;23.88;20.89;19.7;23.07;24.26;21.91;21.08;21.21;20.96;20.67;23.24;23.07;21.91;23.12;23.2;22.27;21.87;20.28;21.87;21.4;20.4;22.35;21.15;21.98;21.16;21.88;20.93;19.95;22.27;20.67;20.52;21.24;23.07;21.68;21.68;21.82;20.62;21.68;21.79;20.64;21.04;20.52;23.08;23;20.52;20.52;21.04;23.85;21.27;22.78;22.73;21.16;22.42;23.88;23.48;22.1;21.4;20.18;20.52;21.55;22.38;19.95;23.85;21.68;22.38;21.15;22.27;20.89;23.57;21.88;21.79;22.78;23;20.59;22.66;20.96;23.44;21.49;23.05;20.52;21.04;21.33;20.52;21.82;21.33;22.8;21.38;21.01;20.91;20.18;21.68;23.29;20.64;20.93;21.26;23.08;20.28;22.73;21.16;20.51;20.52;23.57;21.82;22.27;21.58;20.82;20.5;21.98;23.07;21.68;22.6;20.7;21.68;20.59;21.33;21.01;21.33;22.66;21.16;20.34;20.5;23.07;20.7;23.57;21.55;21.04;21.81;22.38;20.52;22.73;21.4;23.07
1986;5;19.01;20.56;21.15;19.06;19.14;19.6;21.15;20.67;19.14;20.11;22.14;22.17;19.89;21.83;20.98;20.26;21.26;20;20.88;21.35;22.43;20.26;19.31;19.2;21.83;20.32;18.72;21.79;22.64;19.66;19.2;19.09;19.62;19.2;19.45;23.16;19.41;18.42;22.17;23.58;20.57;20;19.99;19.51;19.21;22.37;22.17;20.57;22.14;22.31;21.23;20.68;19;20.68;19.98;19.2;21.35;19.74;20.88;19.98;20.83;19.63;18.71;21.26;19.21;19.06;19.94;22.17;20.54;20.54;20.74;19.49;20.54;20.74;19.42;19.6;19.09;22.2;22.05;19.06;19.06;19.6;23.09;19.89;21.83;21.77;19.98;21.25;23.16;22.67;21.03;19.98;18.96;19.06;20.25;21.41;18.71;23.09;20.54;21.35;19.74;21.23;19.41;22.74;20.83;20.74;21.83;22.05;19.14;21.7;19.51;22.57;20.36;22.16;19.06;19.6;19.87;19.06;20.74;19.87;21.71;20.26;19.84;19.74;18.96;20.54;22.43;19.42;19.63;19.77;22.2;19;21.77;19.98;19.29;19.09;22.74;20.74;21.23;20.36;19.66;19.3;20.88;22.17;20.54;21.5;19.34;20.54;19.14;19.87;19.84;19.87;21.7;19.98;18.91;19.3;22.17;19.34;22.74;20.25;19.6;20.56;21.35;19.09;21.77;19.98;22.17
1986;6;18.04;19.78;20.3;18.37;18.44;18.91;20.3;19.78;18.44;19.4;21.37;21.19;19.18;20.81;20.26;19.22;20.3;19;19.85;20.32;21.48;19.22;18.54;18.11;20.81;19.61;17.65;20.97;21.73;18.61;18.11;18.39;18.79;18.11;18.74;22.25;18.73;17.43;21.19;22.69;19.86;19;19.16;18.82;18.52;21.43;21.19;19.86;21.37;21.38;20.25;19.86;18.21;19.86;19.3;18.11;20.43;19.04;19.85;18.88;19.84;18.86;17.73;20.3;18.52;18.37;19.17;21.19;19.44;19.44;19.74;18.45;19.44;19.77;18.31;18.91;18.39;21.25;21.17;18.37;18.37;18.91;22.2;19.18;20.81;20.78;18.88;20.5;22.25;21.72;19.95;19.3;18.08;18.37;19.47;20.46;17.73;22.2;19.44;20.32;19.04;20.25;18.73;21.83;19.84;19.77;20.81;21.17;18.44;20.77;18.82;21.74;19.31;21.29;18.37;18.91;19.19;18.37;19.74;19.19;21;19.22;18.76;18.81;18.08;19.44;21.48;18.31;18.86;19.08;21.25;18.21;20.78;18.88;18.43;18.39;21.83;19.74;20.25;19.53;18.61;18.35;19.85;21.19;19.44;20.73;18.65;19.44;18.44;19.19;18.76;19.19;20.77;18.88;18.23;18.35;21.19;18.65;21.83;19.47;18.91;19.78;20.32;18.39;20.78;19.3;21.19
1986;7;17.38;19.36;19.7;18.09;18.14;18.6;19.7;19.19;18.14;19.16;20.79;20.43;18.82;20.04;19.88;18.45;19.57;18.28;19.1;19.55;20.71;18.45;18.04;17.35;20.04;19.28;16.9;20.38;21.01;17.86;17.35;18.13;18.26;17.35;18.52;21.53;18.49;16.7;20.43;21.96;19.51;18.28;18.66;18.55;18.19;20.68;20.43;19.51;20.79;20.64;19.53;19.39;17.66;19.39;19.01;17.35;19.7;18.71;19.1;18.09;19.07;18.42;17.03;19.57;18.19;18.09;18.74;20.43;18.66;18.66;18.99;17.73;18.66;19.03;17.53;18.6;18.13;20.53;20.51;18.09;18.09;18.6;21.48;18.82;20.04;20.04;18.09;20.05;21.53;20.98;19.16;19.01;17.43;18.09;19.06;19.7;17.03;21.48;18.66;19.55;18.71;19.53;18.49;21.09;19.07;19.03;20.04;20.51;18.14;20.06;18.55;21.06;18.54;20.58;18.09;18.6;18.95;18.09;18.99;18.95;20.51;18.45;17.99;18.19;17.43;18.66;20.71;17.53;18.42;18.88;20.53;17.66;20.04;18.09;17.85;18.13;21.09;18.99;19.53;19.06;17.86;17.72;19.1;20.43;18.66;20.22;18.24;18.66;18.14;18.95;17.99;18.95;20.06;18.09;17.93;17.72;20.43;18.24;21.09;19.06;18.6;19.36;19.55;18.13;20.04;19.01;20.43
1986;8;17.38;19.57;19.72;18.73;18.71;19.09;19.72;19.21;18.71;19.78;20.78;20.08;19.14;19.71;20.23;18.31;19.4;18.21;18.9;19.27;20.52;18.31;18.22;17.23;19.71;19.68;16.84;20.36;20.7;17.75;17.23;18.82;18.36;17.23;19.27;21.12;19.17;16.68;20.08;21.53;19.92;18.21;18.77;19.13;18.69;20.5;20.08;19.92;20.78;20.48;19.34;19.5;17.81;19.5;19.49;17.23;19.59;19.12;18.9;17.91;18.93;18.63;17.03;19.4;18.69;18.73;18.96;20.08;18.46;18.46;18.83;17.65;18.46;18.93;17.36;19.09;18.82;20.23;20.42;18.73;18.73;19.09;21.16;19.14;19.71;19.75;17.91;20.27;21.12;20.6;18.89;19.49;17.48;18.73;19.28;19.56;17.03;21.16;18.46;19.27;19.12;19.34;19.17;20.86;18.93;18.93;19.71;20.42;18.71;19.86;19.13;20.9;18.37;20.38;18.73;19.09;19.55;18.73;18.83;19.55;20.66;18.31;17.84;18.21;17.48;18.46;20.52;17.36;18.63;19.62;20.23;17.81;19.75;17.91;17.92;18.82;20.86;18.83;19.34;19.18;17.75;17.73;18.9;20.08;18.46;20.32;18.52;18.46;18.71;19.55;17.84;19.55;19.86;17.91;18.51;17.73;20.08;18.52;20.86;19.28;19.09;19.57;19.27;18.82;19.75;19.49;20.08
1986;9;17.9;20.32;20.33;19.81;19.73;20.05;20.33;19.82;19.73;20.76;21.3;20.39;19.96;20.02;20.99;18.8;19.88;18.76;19.35;19.63;20.95;18.8;18.9;17.68;20.02;20.56;17.29;20.91;21.04;18.23;17.68;19.97;18.95;17.68;20.4;21.39;20.25;17.18;20.39;21.76;20.79;18.76;19.4;20.15;19.64;20.95;20.39;20.79;21.3;20.95;19.82;20.16;18.48;20.16;20.45;17.68;20.13;20;19.35;18.33;19.43;19.32;17.54;19.88;19.64;19.81;19.68;20.39;18.88;18.88;19.31;18.17;18.88;19.45;17.78;20.05;19.97;20.6;20.93;19.81;19.81;20.05;21.48;19.96;20.02;20.12;18.33;20.97;21.39;20.89;19.25;20.45;18.07;19.81;20.04;20.06;17.54;21.48;18.88;19.63;20;19.82;20.25;21.26;19.43;19.45;20.02;20.93;19.73;20.32;20.15;21.35;18.82;20.82;19.81;20.05;20.57;19.81;19.31;20.57;21.25;18.8;18.29;18.79;18.07;18.88;20.95;17.78;19.32;20.68;20.6;18.48;20.12;18.33;18.51;19.97;21.26;19.31;19.82;19.85;18.23;18.26;19.35;20.39;18.88;20.95;19.3;18.88;19.73;20.57;18.29;20.57;20.32;18.33;19.59;18.26;20.39;19.3;21.26;20.04;20.05;20.32;19.63;19.97;20.12;20.45;20.39
1986;10;19.01;21.37;21.36;20.98;20.9;21.17;21.36;20.86;20.9;21.77;22.21;21.25;21.09;20.91;21.94;19.87;20.88;19.79;20.36;20.58;21.9;19.87;20.05;18.75;20.91;21.6;18.37;21.88;21.9;19.29;18.75;21.13;20.07;18.75;21.51;22.17;21.35;18.31;21.25;22.51;21.78;19.79;20.5;21.26;20.82;21.9;21.25;21.78;22.21;21.9;20.82;21.22;19.64;21.22;21.52;18.75;21.15;21.13;20.36;19.39;20.48;20.46;18.66;20.88;20.82;20.98;20.79;21.25;19.91;19.91;20.35;19.21;19.91;20.49;18.87;21.17;21.13;21.49;21.89;20.98;20.98;21.17;22.3;21.09;20.91;21.04;19.39;21.92;22.17;21.71;20.22;21.52;19.21;20.98;21.12;21.08;18.66;22.3;19.91;20.58;21.13;20.82;21.35;22.16;20.48;20.49;20.91;21.89;20.9;21.28;21.26;22.25;19.87;21.74;20.98;21.17;21.62;20.98;20.35;21.62;22.17;19.87;19.37;19.86;19.21;19.91;21.9;18.87;20.46;21.73;21.49;19.64;21.04;19.39;19.64;21.13;22.16;20.35;20.82;20.93;19.29;19.35;20.36;21.25;19.91;21.91;20.47;19.91;20.9;21.62;19.37;21.62;21.28;19.39;20.82;19.35;21.25;20.47;22.16;21.12;21.17;21.37;20.58;21.13;21.04;21.52;21.25
