ANO;MÊS;1100015 - Alta Floresta D'Oeste;1100023 - Ariquemes;1100031 - Cabixi;1100049 - Cacoal;1100056 - Cerejeiras;1100064 - Colorado do Oeste;1100072 - Corumbiara;1100080 - Costa Marques;1100098 - Espigão D'Oeste;1100106 - Guajará-Mirim;1100114 - Jaru;1100122 - Ji-Paraná;1100130 - Machadinho D'Oeste;1100148 - Nova Brasilândia D'Oeste;1100155 - Ouro Preto do Oeste;1100189 - Pimenta Bueno;1100205 - Porto Velho;1100254 - Presidente Médici;1100262 - Rio Crespo;1100288 - Rolim de Moura;1100296 - Santa Luzia D'Oeste;1100304 - Vilhena;1100320 - São Miguel do Guaporé;1100338 - Nova Mamoré;1100346 - Alvorada D'Oeste;1100379 - Alto Alegre dos Parecis;1100403 - Alto Paraíso;1100452 - Buritis;1100502 - Novo Horizonte do Oeste;1100601 - Cacaulândia;1100700 - Campo Novo de Rondônia;1100809 - Candeias do Jamari;1100908 - Castanheiras;1100924 - Chupinguaia;1100940 - Cujubim;1101005 - Governador Jorge Teixeira;1101104 - Itapuã do Oeste;1101203 - Ministro Andreazza;1101302 - Mirante da Serra;1101401 - Monte Negro;1101435 - Nova União;1101450 - Parecis;1101468 - Pimenteiras do Oeste;1101476 - Primavera de Rondônia;1101484 - São Felipe D'Oeste;1101492 - São Francisco do Guaporé;1101500 - Seringueiras;1101559 - Teixeirópolis;1101609 - Theobroma;1101708 - Urupá;1101757 - Vale do Anari;1101807 - Vale do Paraíso
1986;1;21.4;21.46;20.89;21.3;21.27;20.66;21.09;21.74;20.98;21.57;21.29;21.3;21.67;21.27;21.41;20.95;21.95;21.37;21.67;21.22;21.05;20.73;21.34;21.62;21.27;21.3;21.75;21.51;21.18;21.22;21.23;22.07;21.37;20.9;21.91;21.12;21.91;21.22;21.17;21.3;21.25;21;21.17;21.2;21.25;21.6;21.46;21.41;21.43;21.31;21.42;21.41
1986;2;21.52;21.62;20.98;21.46;21.36;20.77;21.19;21.92;21.12;21.78;21.46;21.45;21.77;21.42;21.57;21.1;22.16;21.54;21.8;21.38;21.18;20.86;21.51;21.84;21.44;21.41;21.89;21.7;21.33;21.39;21.43;22.2;21.54;21.03;22.02;21.31;22.02;21.39;21.35;21.48;21.43;21.15;21.27;21.37;21.42;21.76;21.64;21.57;21.57;21.48;21.54;21.57
1986;3;21.27;21.66;20.62;21.31;21.05;20.45;20.9;21.66;20.98;21.59;21.42;21.41;21.92;21.27;21.55;20.9;22.25;21.4;21.87;21.18;20.95;20.66;21.32;21.76;21.31;21.16;21.96;21.7;21.15;21.39;21.38;22.33;21.4;20.78;22.14;21.23;22.14;21.26;21.28;21.47;21.37;20.9;20.96;21.15;21.22;21.5;21.42;21.51;21.6;21.38;21.59;21.55
1986;4;19.86;20.6;19.02;20.15;19.54;18.89;19.43;20.41;19.84;20.42;20.28;20.41;21.05;20.04;20.5;19.62;21.27;20.22;20.91;19.93;19.6;19.31;20.06;20.65;20.09;19.74;20.95;20.62;19.9;20.24;20.25;21.42;20.22;19.39;21.23;20.04;21.23;20.12;20.09;20.35;20.19;19.56;19.46;19.93;19.97;20.15;20.14;20.36;20.61;20.18;20.67;20.5
1986;5;17.58;18.84;16.84;18.08;17.27;16.7;17.18;18.51;17.71;18.6;18.37;18.54;19.36;17.95;18.63;17.42;19.7;18.17;19.22;17.8;17.35;17.11;17.99;18.91;18.06;17.44;19.3;18.89;17.76;18.4;18.47;19.86;18.17;17.15;19.61;18.12;19.61;18.04;18.14;18.58;18.23;17.32;17.2;17.8;17.85;18.01;18.06;18.41;18.81;18.18;18.91;18.63
1986;6;15.75;17.25;15.19;16.5;15.55;15;15.46;16.82;15.95;16.91;16.8;16.98;17.61;16.29;17.1;15.69;17.92;16.62;17.55;16.15;15.52;15.35;16.22;17.2;16.4;15.62;17.63;17.3;16.07;16.82;16.86;18;16.62;15.4;17.85;16.48;17.85;16.43;16.51;16.96;16.65;15.56;15.45;16.17;16.23;16.23;16.27;16.88;17.24;16.61;17.3;17.1
1986;7;15.29;17.02;14.98;16.27;15.22;14.8;15.13;16.34;15.61;16.43;16.53;16.74;17.2;16.02;16.91;15.35;17.13;16.45;17.26;15.89;15.09;15.07;15.72;16.64;16.03;15.19;17.29;17;15.81;16.56;16.58;17.4;16.45;15.07;17.44;16.12;17.44;16.2;16.17;16.69;16.34;15.13;15.1;15.88;15.98;15.73;15.71;16.7;16.99;16.32;17.02;16.91
1986;8;17.85;19.57;17.79;19.3;17.98;17.69;17.93;18.95;18.35;19.01;19.3;19.6;19.68;18.84;19.83;18.14;19.41;19.54;19.68;18.86;17.75;17.8;18.32;19.14;18.8;17.79;19.69;19.47;18.74;19.15;19.12;19.66;19.54;17.85;19.76;18.8;19.76;19.18;18.88;19.2;19.09;17.9;17.8;18.84;18.99;18.32;18.3;19.68;19.65;19.15;19.67;19.83
1986;9;20.33;21.34;20.1;21.41;20.38;19.91;20.27;21.15;20.56;21.02;21.2;21.44;21.6;21;21.62;20.34;21.46;21.6;21.53;21.03;20.14;19.95;20.63;21.04;20.94;20.26;21.53;21.23;20.9;20.97;20.86;21.68;21.6;20.09;21.68;20.77;21.68;21.29;20.88;20.97;21.1;20.24;20.2;21.04;21.17;20.75;20.67;21.63;21.44;21.23;21.45;21.62
1986;10;21.12;21.57;20.61;21.45;21.03;20.38;20.86;21.58;20.95;21.46;21.37;21.45;21.87;21.27;21.6;20.83;22.07;21.57;21.78;21.26;20.79;20.55;21.17;21.61;21.24;21.02;21.86;21.61;21.18;21.26;21.24;22.16;21.57;20.67;22.02;21.1;22.02;21.34;21.17;21.34;21.32;20.81;20.87;21.25;21.34;21.41;21.27;21.61;21.55;21.39;21.57;21.6
