ANO;MÊS;1400027 - Amajari;1400050 - Alto Alegre;1400100 - Boa Vista;1400159 - Bonfim;1400175 - Cantá;1400209 - Caracaraí;1400233 - Caroebe;1400282 - Iracema;1400308 - Mucajaí;1400407 - Normandia;1400456 - Pacaraima;1400472 - Rorainópolis;1400506 - São João da Baliza;1400605 - São Luiz;1400704 - Uiramutã
1986;1;18.28;18.96;22.19;21.85;21.81;21.84;20.75;20.18;20.91;20.62;19.5;22.1;21.19;21.31;17.38
1986;2;19.04;19.83;22.79;22.4;22.6;22.66;21.53;21.12;21.8;20.98;20.01;22.92;22.12;22.26;17.65
1986;3;19.88;20.7;23.74;23.29;23.56;23.05;22.26;21.84;22.67;21.72;20.87;23.25;22.84;23.05;18.15
1986;4;19.97;20.62;23.81;23.38;23.27;22.16;21.79;21.36;22.33;22.09;21.14;22.24;22.14;22.34;18.5
1986;5;19.23;19.57;22.5;22.12;21.74;21.02;20.3;20.02;20.9;21.6;20.6;21.15;20.57;20.69;18.53
1986;6;18.51;18.88;21.28;20.97;20.69;20.38;19.62;19.39;20.07;20.56;19.58;20.54;19.92;20;17.94
1986;7;18.28;18.71;21.13;20.81;20.53;20.14;19.39;19.29;19.97;20.38;19.3;20.26;19.67;19.74;17.67
1986;8;18.51;18.96;21.68;21.44;21.02;20.64;19.92;19.64;20.33;21.05;19.71;20.76;20.2;20.28;17.98
1986;9;19.26;19.69;22.59;22.3;21.79;21.5;20.81;20.31;21;21.86;20.54;21.69;21.12;21.18;18.51
1986;10;19.51;19.98;23.03;22.7;22.28;21.99;21.25;20.7;21.45;22.09;20.79;22.18;21.62;21.68;18.65
1986;11;19.59;20.12;23.2;22.83;22.55;22.21;21.44;20.96;21.7;22.04;20.81;22.38;21.83;21.94;18.74
1986;12;18.77;19.35;22.66;22.39;22.19;22.03;21.15;20.35;21.13;21.25;20;22.27;21.55;21.65;18.03
1987;1;18.49;19.24;22.4;22.02;22.11;22.22;21.21;20.48;21.23;20.63;19.63;22.52;21.7;21.75;17.36
1987;2;19.24;20.12;22.9;22.48;22.76;22.8;21.73;21.43;22.12;20.99;20.11;23.07;22.32;22.45;17.66
1987;3;20.02;20.86;23.76;23.31;23.6;23.28;22.54;22.03;22.83;21.75;20.96;23.51;23.1;23.25;18.24
1987;4;20.3;21.02;24.11;23.67;23.69;22.58;22.23;21.84;22.84;22.29;21.42;22.65;22.59;22.83;18.71
1987;5;19.39;19.77;22.69;22.31;21.96;21.19;20.53;20.23;21.11;21.7;20.65;21.3;20.81;20.96;18.49
1987;6;18.62;18.99;21.41;21.1;20.84;20.53;19.75;19.52;20.19;20.68;19.72;20.68;20.03;20.12;18.05
1987;7;18.53;18.95;21.38;21.08;20.79;20.47;19.76;19.52;20.18;20.67;19.59;20.61;20.04;20.11;17.97
1987;8;18.94;19.4;22.04;21.79;21.43;21.13;20.37;20.07;20.73;21.35;20.11;21.26;20.67;20.77;18.31
1987;9;19.64;20.11;22.96;22.65;22.2;22.04;21.2;20.8;21.45;22.17;20.91;22.23;21.59;21.68;18.7
1987;10;20.06;20.52;23.63;23.22;22.72;22.29;21.51;21.18;21.92;22.61;21.44;22.46;21.93;22.03;19
1987;11;19.93;20.51;23.64;23.26;23.06;22.7;21.9;21.41;22.17;22.32;21.19;22.87;22.32;22.44;19.08
1987;12;19.12;19.75;22.92;22.56;22.43;22.34;21.41;20.79;21.54;21.46;20.32;22.57;21.78;21.86;18.26
1988;1;19.12;19.93;22.87;22.43;22.61;22.83;21.56;21.15;21.87;21.02;20.12;23.15;22.15;22.23;17.7
1988;2;19.71;20.65;23.4;22.99;23.41;23.55;22.35;22.09;22.74;21.35;20.53;23.8;23.03;23.18;17.91
1988;3;20.36;21.28;24.15;23.71;24.07;23.64;22.87;22.55;23.35;22.05;21.24;23.78;23.4;23.63;18.49
1988;4;20.41;20.97;24.12;23.65;23.43;22.43;21.98;21.59;22.53;22.51;21.64;22.52;22.31;22.48;18.92
1988;5;19.55;19.91;22.74;22.34;21.93;21.35;20.52;20.38;21.19;21.92;20.92;21.5;20.83;20.93;18.83
1988;6;18.85;19.22;21.72;21.38;21.09;20.7;19.83;19.73;20.44;20.98;19.99;20.84;20.12;20.21;18.31
1988;7;18.54;18.98;21.44;21.15;20.87;20.52;19.78;19.6;20.28;20.66;19.54;20.65;20.06;20.14;17.89
