ANO;MÊS;2800100 - Amparo de São Francisco;2800209 - Aquidabã;2800308 - Aracaju;2800407 - Arauá;2800506 - Areia Branca;2800605 - Barra dos Coqueiros;2800670 - Boquim;2800704 - Brejo Grande;2801009 - Campo do Brito;2801108 - Canhoba;2801207 - Canindé de São Francisco;2801306 - Capela;2801405 - Carira;2801504 - Carmópolis;2801603 - Cedro de São João;2801702 - Cristinápolis;2801900 - Cumbe;2802007 - Divina Pastora;2802106 - Estância;2802205 - Feira Nova;2802304 - Frei Paulo;2802403 - Gararu;2802502 - General Maynard;2802601 - Gracho Cardoso;2802700 - Ilha das Flores;2802809 - Indiaroba;2802908 - Itabaiana;2803005 - Itabaianinha;2803104 - Itabi;2803203 - Itaporanga d'Ajuda;2803302 - Japaratuba;2803401 - Japoatã;2803500 - Lagarto;2803609 - Laranjeiras;2803708 - Macambira;2803807 - Malhada dos Bois;2803906 - Malhador;2804003 - Maruim;2804102 - Moita Bonita;2804201 - Monte Alegre de Sergipe;2804300 - Muribeca;2804409 - Neópolis;2804458 - Nossa Senhora Aparecida;2804508 - Nossa Senhora da Glória;2804607 - Nossa Senhora das Dores;2804706 - Nossa Senhora de Lourdes;2804805 - Nossa Senhora do Socorro;2804904 - Pacatuba;2805000 - Pedra Mole;2805109 - Pedrinhas;2805208 - Pinhão;2805307 - Pirambu;2805406 - Poço Redondo;2805505 - Poço Verde;2805604 - Porto da Folha;2805703 - Propriá;2805802 - Riachão do Dantas;2805901 - Riachuelo;2806008 - Ribeirópolis;2806107 - Rosário do Catete;2806206 - Salgado;2806305 - Santa Luzia do Itanhy;2806404 - Santana do São Francisco;2806503 - Santa Rosa de Lima;2806602 - Santo Amaro das Brotas;2806701 - São Cristóvão;2806800 - São Domingos;2806909 - São Francisco;2807006 - São Miguel do Aleixo;2807105 - Simão Dias;2807204 - Siriri;2807303 - Telha;2807402 - Tobias Barreto;2807501 - Tomar do Geru;2807600 - Umbaúba
1986;1;21.36;21.07;22.38;21.77;21.16;23.21;21.37;23.14;20.82;21.07;20.74;21.45;20.72;22.5;21.36;21.24;21.07;21.83;22.54;20.77;20.72;20.89;22.5;21.07;23.14;22.18;21.16;21.01;20.89;21.55;21.93;21.93;21.1;21.83;20.82;21.36;21.16;21.83;21.16;20.73;21.36;22.53;20.63;20.63;21.45;20.98;22.38;22.53;20.48;20.79;20.48;23.3;20.73;20.58;20.73;21.36;20.64;21.16;20.97;22.5;21.95;21.77;22.17;21.16;22.5;22.38;20.82;21.36;20.97;20.48;21.83;21.36;20.58;21.01;21.01
1986;2;21.67;21.39;22.68;22.11;21.52;23.48;21.73;23.38;21.2;21.39;20.91;21.77;21.09;22.77;21.67;21.55;21.39;22.14;22.85;21.11;21.09;21.16;22.77;21.39;23.38;22.5;21.52;21.37;21.16;21.89;22.22;22.22;21.47;22.14;21.2;21.67;21.52;22.14;21.52;21;21.67;22.8;20.97;20.97;21.77;21.25;22.68;22.8;20.89;21.2;20.89;23.55;21;20.98;21;21.67;21.04;21.52;21.32;22.77;22.26;22.11;22.44;21.52;22.77;22.68;21.2;21.67;21.32;20.89;22.14;21.67;20.98;21.37;21.37
1986;3;21.9;21.59;22.87;22.19;21.64;23.7;21.81;23.63;21.29;21.59;20.97;21.95;21.19;22.99;21.9;21.54;21.59;22.31;23.01;21.28;21.19;21.34;22.99;21.59;23.63;22.57;21.64;21.37;21.34;22.03;22.44;22.44;21.55;22.31;21.29;21.9;21.64;22.31;21.64;21.12;21.9;23.04;21.1;21.1;21.95;21.45;22.87;23.04;20.94;21.19;20.94;23.78;21.12;20.95;21.12;21.9;21.07;21.64;21.46;22.99;22.43;22.19;22.69;21.64;22.99;22.87;21.29;21.9;21.46;20.94;22.31;21.9;20.95;21.37;21.37
1986;4;21.48;21.17;22.55;21.85;21.27;23.43;21.43;23.33;20.89;21.17;20.46;21.58;20.78;22.71;21.48;21.21;21.17;21.99;22.7;20.87;20.78;20.92;22.71;21.17;23.33;22.26;21.27;21;20.92;21.68;22.1;22.1;21.16;21.99;20.89;21.48;21.27;21.99;21.27;20.68;21.48;22.72;20.68;20.68;21.58;21.04;22.55;22.72;20.52;20.78;20.52;23.51;20.68;20.5;20.68;21.48;20.65;21.27;21.07;22.71;22.08;21.85;22.37;21.27;22.71;22.55;20.89;21.48;21.07;20.52;21.99;21.48;20.5;21;21
1986;5;19.91;19.55;21.3;20.46;19.71;22.38;19.94;22.3;19.28;19.55;18.82;20.08;19.14;21.52;19.91;19.69;19.55;20.61;21.51;19.18;19.14;19.27;21.52;19.55;22.3;20.99;19.71;19.41;19.27;20.22;20.72;20.72;19.61;20.61;19.28;19.91;19.71;20.61;19.71;18.99;19.91;21.51;19;19;20.08;19.43;21.3;21.51;18.86;19.14;18.86;22.48;18.99;18.85;18.99;19.91;19;19.71;19.44;21.52;20.74;20.46;21.17;19.71;21.52;21.3;19.28;19.91;19.44;18.86;20.61;19.91;18.85;19.41;19.41
1986;6;18.43;18;20.04;19.14;18.22;21.24;18.55;21.19;17.76;18;17.39;18.63;17.58;20.28;18.43;18.28;18;19.25;20.32;17.58;17.58;17.7;20.28;18;21.19;19.73;18.22;17.96;17.7;18.84;19.36;19.36;18.15;19.25;17.76;18.43;18.22;19.25;18.22;17.4;18.43;20.27;17.4;17.4;18.63;17.9;20.04;20.27;17.3;17.64;17.3;21.36;17.4;17.33;17.4;18.43;17.47;18.22;17.9;20.28;19.46;19.14;19.96;18.22;20.28;20.04;17.76;18.43;17.9;17.3;19.25;18.43;17.33;17.96;17.96
1986;7;17.64;17.16;19.32;18.42;17.45;20.53;17.84;20.46;16.96;17.16;16.55;17.84;16.73;19.57;17.64;17.56;17.16;18.51;19.62;16.68;16.73;16.83;19.57;17.16;20.46;19.01;17.45;17.23;16.83;18.12;18.61;18.61;17.4;18.51;16.96;17.64;17.45;18.51;17.45;16.48;17.64;19.53;16.5;16.5;17.84;17.07;19.32;19.53;16.47;16.89;16.47;20.62;16.48;16.51;16.48;17.64;16.68;17.45;17.07;19.57;18.78;18.42;19.25;17.45;19.57;19.32;16.96;17.64;17.07;16.47;18.51;17.64;16.51;17.23;17.23
1986;8;17.13;16.68;18.73;17.83;16.9;19.93;17.24;19.91;16.44;16.68;16.29;17.31;16.26;18.96;17.13;16.99;16.68;17.93;19;16.23;16.26;16.41;18.96;16.68;19.91;18.42;16.9;16.66;16.41;17.52;18.05;18.05;16.83;17.93;16.44;17.13;16.9;17.93;16.9;16.13;17.13;18.98;16.08;16.08;17.31;16.61;18.73;18.98;15.97;16.32;15.97;20.06;16.13;16.04;16.13;17.13;16.15;16.9;16.57;18.96;18.15;17.83;18.66;16.9;18.96;18.73;16.44;17.13;16.57;15.97;17.93;17.13;16.04;16.66;16.66
1986;9;17.71;17.3;19.06;18.18;17.45;20.13;17.69;20.12;16.99;17.3;17.13;17.82;16.86;19.25;17.71;17.41;17.3;18.35;19.24;16.89;16.86;17.08;19.25;17.3;20.12;18.68;17.45;17.13;17.08;17.99;18.48;18.48;17.34;18.35;16.99;17.71;17.45;18.35;17.45;16.86;17.71;19.3;16.74;16.74;17.82;17.24;19.06;19.3;16.53;16.85;16.53;20.27;16.86;16.58;16.86;17.71;16.69;17.45;17.17;19.25;18.53;18.18;18.96;17.45;19.25;19.06;16.99;17.71;17.17;16.53;18.35;17.71;16.58;17.13;17.13
1986;10;18.83;18.49;20.04;19.3;18.63;20.97;18.87;20.96;18.24;18.49;18.66;18.95;18.15;20.18;18.83;18.7;18.49;19.4;20.18;18.15;18.15;18.37;20.18;18.49;20.96;19.73;18.63;18.42;18.37;19.11;19.5;19.5;18.56;19.4;18.24;18.83;18.63;19.4;18.63;18.27;18.83;20.23;18.05;18.05;18.95;18.46;20.04;20.23;17.85;18.14;17.85;21.1;18.27;17.96;18.27;18.83;18;18.63;18.39;20.18;19.59;19.3;19.9;18.63;20.18;20.04;18.24;18.83;18.39;17.85;19.4;18.83;17.96;18.42;18.42
1986;11;20.05;19.78;21.15;20.5;19.88;21.98;20.13;21.92;19.54;19.78;20.04;20.17;19.48;21.24;20.05;19.96;19.78;20.56;21.28;19.5;19.48;19.69;21.24;19.78;21.92;20.88;19.88;19.73;19.69;20.33;20.65;20.65;19.84;20.56;19.54;20.05;19.88;20.56;19.88;19.66;20.05;21.28;19.41;19.41;20.17;19.71;21.15;21.28;19.21;19.49;19.21;22.06;19.66;19.32;19.66;20.05;19.35;19.88;19.69;21.24;20.77;20.5;20.95;19.88;21.24;21.15;19.54;20.05;19.69;19.21;20.56;20.05;19.32;19.73;19.73
1986;12;21.15;20.9;22.06;21.52;20.95;22.8;21.16;22.74;20.66;20.9;20.94;21.22;20.6;22.15;21.15;21.05;20.9;21.55;22.19;20.64;20.6;20.79;22.15;20.9;22.74;21.87;20.95;20.84;20.79;21.32;21.65;21.65;20.91;21.55;20.66;21.15;20.95;21.55;20.95;20.73;21.15;22.2;20.55;20.55;21.22;20.81;22.06;22.2;20.37;20.63;20.37;22.87;20.73;20.49;20.73;21.15;20.5;20.95;20.79;22.15;21.69;21.52;21.88;20.95;22.15;22.06;20.66;21.15;20.79;20.37;21.55;21.15;20.49;20.84;20.84
1987;1;21.3;21.02;22.29;21.72;21.11;23.08;21.33;23;20.8;21.02;20.8;21.38;20.71;22.39;21.3;21.19;21.02;21.75;22.45;20.74;20.71;20.84;22.39;21.02;23;22.11;21.11;20.99;20.84;21.49;21.84;21.84;21.07;21.75;20.8;21.3;21.11;21.75;21.11;20.73;21.3;22.42;20.62;20.62;21.38;20.9;22.29;22.42;20.49;20.79;20.49;23.16;20.73;20.6;20.73;21.3;20.64;21.11;20.93;22.39;21.87;21.72;22.07;21.11;22.39;22.29;20.8;21.3;20.93;20.49;21.75;21.3;20.6;20.99;20.99
1987;2;21.73;21.46;22.65;22.07;21.53;23.41;21.71;23.33;21.22;21.46;21;21.8;21.13;22.75;21.73;21.51;21.46;22.14;22.79;21.19;21.13;21.24;22.75;21.46;23.33;22.42;21.53;21.34;21.24;21.89;22.24;22.24;21.46;22.14;21.22;21.73;21.53;22.14;21.53;21.08;21.73;22.79;21.03;21.03;21.8;21.32;22.65;22.79;20.91;21.17;20.91;23.48;21.08;20.95;21.08;21.73;21.04;21.53;21.36;22.75;22.25;22.07;22.45;21.53;22.75;22.65;21.22;21.73;21.36;20.91;22.14;21.73;20.95;21.34;21.34
1987;3;22.05;21.75;22.97;22.31;21.78;23.79;21.92;23.73;21.43;21.75;21.16;22.1;21.35;23.12;22.05;21.71;21.75;22.45;23.09;21.45;21.35;21.53;23.12;21.75;23.73;22.69;21.78;21.53;21.53;22.14;22.58;22.58;21.68;22.45;21.43;22.05;21.78;22.45;21.78;21.31;22.05;23.16;21.27;21.27;22.1;21.64;22.97;23.16;21.09;21.34;21.09;23.88;21.31;21.09;21.31;22.05;21.21;21.78;21.62;23.12;22.51;22.31;22.82;21.78;23.12;22.97;21.43;22.05;21.62;21.09;22.45;22.05;21.09;21.53;21.53
1987;4;21.53;21.23;22.64;21.95;21.32;23.54;21.5;23.45;20.95;21.23;20.59;21.64;20.84;22.79;21.53;21.32;21.23;22.05;22.8;20.92;20.84;20.98;22.79;21.23;23.45;22.39;21.32;21.09;20.98;21.74;22.16;22.16;21.23;22.05;20.95;21.53;21.32;22.05;21.32;20.76;21.53;22.8;20.74;20.74;21.64;21.1;22.64;22.8;20.58;20.86;20.58;23.62;20.76;20.58;20.76;21.53;20.72;21.32;21.12;22.79;22.15;21.95;22.45;21.32;22.79;22.64;20.95;21.53;21.12;20.58;22.05;21.53;20.58;21.09;21.09
