ANO;MÊS;1700251 - Abreulândia;1700301 - Aguiarnópolis;1700350 - Aliança do Tocantins;1700400 - Almas;1700707 - Alvorada;1701002 - Ananás;1701051 - Angico;1701101 - Aparecida do Rio Negro;1701309 - Aragominas;1701903 - Araguacema;1702000 - Araguaçu;1702109 - Araguaína;1702158 - Araguanã;1702208 - Araguatins;1702307 - Arapoema;1702406 - Arraias;1702554 - Augustinópolis;1702703 - Aurora do Tocantins;1702901 - Axixá do Tocantins;1703008 - Babaçulândia;1703057 - Bandeirantes do Tocantins;1703073 - Barra do Ouro;1703107 - Barrolândia;1703206 - Bernardo Sayão;1703305 - Bom Jesus do Tocantins;1703602 - Brasilândia do Tocantins;1703701 - Brejinho de Nazaré;1703800 - Buriti do Tocantins;1703826 - Cachoeirinha;1703842 - Campos Lindos;1703867 - Cariri do Tocantins;1703883 - Carmolândia;1703891 - Carrasco Bonito;1703909 - Caseara;1704105 - Centenário;1704600 - Chapada de Areia;1705102 - Chapada da Natividade;1705508 - Colinas do Tocantins;1705557 - Combinado;1705607 - Conceição do Tocantins;1706001 - Couto Magalhães;1706100 - Cristalândia;1706258 - Crixás do Tocantins;1706506 - Darcinópolis;1707009 - Dianópolis;1707108 - Divinópolis do Tocantins;1707207 - Dois Irmãos do Tocantins;1707306 - Dueré;1707405 - Esperantina;1707553 - Fátima;1707652 - Figueirópolis;1707702 - Filadélfia;1708205 - Formoso do Araguaia;1708254 - Tabocão;1708304 - Goianorte;1709005 - Goiatins;1709302 - Guaraí;1709500 - Gurupi;1709807 - Ipueiras;1710508 - Itacajá;1710706 - Itaguatins;1710904 - Itapiratins;1711100 - Itaporã do Tocantins;1711506 - Jaú do Tocantins;1711803 - Juarina;1711902 - Lagoa da Confusão;1711951 - Lagoa do Tocantins;1712009 - Lajeado;1712157 - Lavandeira;1712405 - Lizarda;1712454 - Luzinópolis;1712504 - Marianópolis do Tocantins;1712702 - Mateiros;1712801 - Maurilândia do Tocantins;1713205 - Miracema do Tocantins;1713304 - Miranorte;1713601 - Monte do Carmo;1713700 - Monte Santo do Tocantins;1713809 - Palmeiras do Tocantins;1713957 - Muricilândia;1714203 - Natividade;1714302 - Nazaré;1714880 - Nova Olinda;1715002 - Nova Rosalândia;1715101 - Novo Acordo;1715150 - Novo Alegre;1715259 - Novo Jardim;1715507 - Oliveira de Fátima;1715705 - Palmeirante;1715754 - Palmeirópolis;1716109 - Paraíso do Tocantins;1716208 - Paranã;1716307 - Pau D'Arco;1716505 - Pedro Afonso;1716604 - Peixe;1716653 - Pequizeiro;1716703 - Colméia;1717008 - Pindorama do Tocantins;1717206 - Piraquê;1717503 - Pium;1717800 - Ponte Alta do Bom Jesus;1717909 - Ponte Alta do Tocantins;1718006 - Porto Alegre do Tocantins;1718204 - Porto Nacional;1718303 - Praia Norte;1718402 - Presidente Kennedy;1718451 - Pugmil;1718501 - Recursolândia;1718550 - Riachinho;1718659 - Rio da Conceição;1718709 - Rio dos Bois;1718758 - Rio Sono;1718808 - Sampaio;1718840 - Sandolândia;1718865 - Santa Fé do Araguaia;1718881 - Santa Maria do Tocantins;1718899 - Santa Rita do Tocantins;1718907 - Santa Rosa do Tocantins;1719004 - Santa Tereza do Tocantins;1720002 - Santa Terezinha do Tocantins;1720101 - São Bento do Tocantins;1720150 - São Félix do Tocantins;1720200 - São Miguel do Tocantins;1720259 - São Salvador do Tocantins;1720309 - São Sebastião do Tocantins;1720499 - São Valério;1720655 - Silvanópolis;1720804 - Sítio Novo do Tocantins;1720853 - Sucupira;1720903 - Taguatinga;1720937 - Taipas do Tocantins;1720978 - Talismã;1721000 - Palmas;1721109 - Tocantínia;1721208 - Tocantinópolis;1721257 - Tupirama;1721307 - Tupiratins;1722081 - Wanderlândia;1722107 - Xambioá
1986;1;21.52;21.79;21.29;19.72;20.92;21.72;21.62;21.18;21.42;21.77;20.76;21.54;21.48;21.8;21.71;19.55;21.74;18.95;21.72;21.71;21.68;21.85;21.27;21.79;21.55;21.73;21.27;21.82;21.74;20.78;21.18;21.47;21.72;21.52;21.22;21.34;20.61;21.73;19.05;19.95;21.81;21.41;21.36;21.76;19.27;21.52;21.58;21.37;21.86;21.34;21;21.86;21.3;21.65;21.73;21.56;21.7;21.14;21.25;21.36;21.78;21.81;21.7;20.23;21.79;21.58;20.83;21.36;18.95;20.78;21.63;21.54;19.75;21.74;21.38;21.46;20.93;21.34;21.71;21.38;20.29;21.7;21.66;21.31;21.1;19.05;19.07;21.29;21.83;20.04;21.34;20.07;21.52;21.55;20.82;21.8;21.63;20.31;21.6;21.44;19.28;20.42;19.83;21.28;21.66;21.71;21.26;21.02;21.59;19.58;21.65;21.16;21.72;21.17;21.34;21.51;21.4;20.88;20.95;21.71;21.74;20.41;21.72;20.39;21.8;20.76;20.71;21.72;20.89;19.29;19.75;20.56;21.18;21.47;21.74;21.68;21.81;21.58;21.51
1986;2;21.38;21.7;21.16;19.61;20.85;21.64;21.53;21.03;21.34;21.61;20.74;21.44;21.41;21.75;21.57;19.56;21.68;18.97;21.66;21.62;21.56;21.75;21.14;21.65;21.4;21.61;21.12;21.79;21.65;20.68;21.08;21.38;21.7;21.39;21.08;21.22;20.47;21.61;19.11;19.88;21.66;21.3;21.25;21.66;19.18;21.38;21.43;21.28;21.82;21.23;20.94;21.77;21.27;21.5;21.58;21.46;21.57;21.03;21.08;21.24;21.7;21.7;21.56;20.22;21.65;21.54;20.64;21.22;18.97;20.64;21.54;21.41;19.66;21.65;21.24;21.31;20.77;21.22;21.61;21.3;20.18;21.61;21.55;21.2;20.93;19.11;18.98;21.16;21.73;20.03;21.22;20.04;21.41;21.4;20.74;21.65;21.48;20.18;21.52;21.35;19.2;20.27;19.69;21.14;21.63;21.58;21.13;20.9;21.51;19.46;21.5;21;21.7;21.13;21.26;21.38;21.3;20.73;20.76;21.61;21.66;20.31;21.66;20.38;21.78;20.66;20.54;21.66;20.82;19.22;19.67;20.53;21.03;21.32;21.65;21.54;21.7;21.49;21.46
1986;3;21.55;21.9;21.28;19.79;20.93;21.85;21.76;21.23;21.59;21.86;20.76;21.68;21.65;21.92;21.81;19.67;21.84;19.1;21.81;21.84;21.79;21.95;21.29;21.9;21.64;21.85;21.26;21.93;21.84;20.99;21.19;21.64;21.82;21.55;21.34;21.36;20.63;21.85;19.26;20;21.93;21.4;21.35;21.88;19.34;21.55;21.64;21.35;21.99;21.33;21.01;21.97;21.28;21.73;21.83;21.69;21.81;21.14;21.25;21.49;21.87;21.92;21.81;20.26;21.9;21.57;20.85;21.42;19.1;20.91;21.77;21.56;19.89;21.84;21.43;21.51;20.95;21.36;21.83;21.54;20.34;21.82;21.77;21.31;21.16;19.26;19.15;21.28;21.94;20.07;21.36;20.13;21.65;21.64;20.85;21.92;21.72;20.35;21.75;21.45;19.36;20.5;19.9;21.3;21.75;21.83;21.26;21.17;21.75;19.67;21.73;21.24;21.82;21.15;21.5;21.61;21.38;20.9;20.97;21.83;21.86;20.57;21.81;20.45;21.93;20.79;20.72;21.81;20.9;19.37;19.81;20.57;21.23;21.54;21.84;21.78;21.92;21.73;21.7
1986;4;20.87;21.56;20.42;19.19;19.97;21.53;21.45;20.67;21.19;21.21;19.8;21.27;21.26;21.59;21.34;18.97;21.52;18.45;21.47;21.46;21.32;21.54;20.66;21.4;21.11;21.36;20.48;21.59;21.53;20.53;20.26;21.25;21.48;20.8;20.83;20.68;19.89;21.36;18.58;19.28;21.41;20.63;20.5;21.53;18.78;20.87;21.01;20.44;21.64;20.53;20.06;21.59;20.27;21.15;21.24;21.26;21.29;20.23;20.48;21.02;21.55;21.47;21.31;19.3;21.4;20.59;20.33;20.82;18.45;20.44;21.47;20.82;19.4;21.53;20.82;20.91;20.31;20.68;21.5;21.13;19.6;21.51;21.32;20.59;20.68;18.58;18.64;20.58;21.52;19.24;20.68;19.34;21.22;21.11;19.96;21.37;21.15;19.64;21.4;20.67;18.77;19.98;19.32;20.63;21.4;21.32;20.59;20.68;21.4;19.14;21.15;20.75;21.48;20.17;21.07;21.13;20.54;20.12;20.46;21.5;21.53;20.15;21.47;19.46;21.58;19.96;20.08;21.47;19.93;18.76;19.13;19.62;20.67;20.98;21.53;21.25;21.47;21.36;21.3
1986;5;19.3;20.23;18.73;17.82;18.08;20.08;20.1;19.29;19.62;19.66;18.12;19.77;19.69;20.15;19.81;17.13;20.12;16.87;20.07;20.17;19.97;20.52;19.07;19.92;19.99;20.04;18.83;20.16;20.14;19.74;18.45;19.75;20.07;19;19.86;19.09;18.34;20.04;16.93;17.52;19.97;19.01;18.87;20.25;17.37;19.3;19.53;18.76;20.24;18.9;18.25;20.42;18.58;19.81;19.82;20.34;20.08;18.38;18.89;20.13;20.16;20.32;19.93;17.32;19.92;18.87;19.14;19.38;16.87;19.48;20.1;19.11;18.22;20.14;19.35;19.45;18.85;19.09;20.16;19.51;18.01;20.13;19.94;18.98;19.54;16.93;17.25;18.98;20.31;17.26;19.09;17.41;19.67;19.99;18.04;19.94;19.78;18.16;19.98;18.93;17.3;18.81;18.1;19.09;19.99;20.02;19;19.88;19.97;17.95;19.81;19.65;20.07;18.53;19.39;20.19;18.89;18.5;19.2;20.16;20.11;19.19;20.07;17.37;20.2;18.14;18.65;20.07;17.96;17.23;17.46;17.76;19.29;19.66;20.14;20.08;20.32;19.96;19.73
1986;6;18.41;19.31;18.06;16.77;17.33;18.86;18.94;18.65;18.31;18.54;17.4;18.56;18.39;18.91;18.6;15.92;18.9;15.57;18.89;19.21;18.93;19.92;18.37;18.75;19.38;19.05;18.15;18.89;19.04;19.29;17.78;18.48;18.82;17.71;19.38;18.39;17.54;19.05;15.67;16.45;18.82;18.31;18.25;19.33;16.14;18.41;18.65;18.11;18.87;18.29;17.56;19.64;17.86;18.93;18.82;19.84;19.27;17.66;18.17;19.69;19.03;19.6;18.85;16.28;18.75;18.04;18.36;18.67;15.57;18.83;18.9;18.01;17.08;19.04;18.62;18.66;18.17;18.39;19.13;18.16;17.15;19.04;18.87;18.36;18.86;15.67;15.93;18.37;19.47;16.11;18.39;16.32;18.41;19.38;17.19;18.85;18.81;17.35;18.79;17.89;16.07;17.93;17.11;18.43;18.75;19.06;18.38;19.5;18.74;16.85;18.93;19.02;18.82;17.89;18;19.75;18.21;17.75;18.5;19.13;18.95;18.31;18.89;16.32;18.86;17.3;17.91;18.89;17.13;15.99;16.35;16.95;18.65;18.98;19.04;19.38;19.6;18.8;18.41
1986;7;18.64;19.86;18.28;16.83;17.56;19.09;19.43;18.83;18.81;18.76;17.55;19.04;18.81;18.86;19.07;16.02;18.86;15.41;18.87;19.81;19.5;20.4;18.63;19.21;19.64;19.58;18.4;18.66;19.33;19.53;18;19.06;18.61;17.64;19.61;18.68;17.75;19.58;15.62;16.71;19.28;18.58;18.47;19.96;16.07;18.64;18.95;18.29;18.46;18.55;17.77;20.24;17.96;19.22;19.18;20.24;19.65;17.9;18.42;20.01;19.19;20.04;19.41;16.44;19.21;18.1;18.44;18.87;15.41;18.92;19.27;18.09;16.92;19.33;18.85;18.89;18.38;18.68;19.64;18.55;17.37;19.46;19.48;18.67;18.95;15.62;15.74;18.68;20.04;16.25;18.68;16.51;18.91;19.64;17.45;19.27;19.21;17.55;19.31;17.92;16.02;17.96;17.18;18.67;18.55;19.54;18.68;19.75;19.19;16.8;19.22;19.15;18.61;18.05;18.3;20.04;18.43;17.98;18.6;19.64;19.22;18.24;18.87;16.54;18.51;17.56;18.1;18.87;17.38;15.96;16.59;17.14;18.83;19.19;19.33;19.67;20.04;19.39;18.76
1986;8;20.48;21.63;20.14;18.41;19.48;20.95;21.25;20.62;20.84;20.66;19.68;21;20.82;20.63;21.1;17.74;20.62;16.79;20.65;21.63;21.4;22.06;20.45;21.21;21.39;21.45;20.25;20.38;21.13;20.96;19.88;21.04;20.36;19.51;21.22;20.52;19.58;21.45;17.13;18.53;21.27;20.46;20.31;21.75;17.48;20.48;20.8;20.18;20.11;20.39;19.73;21.98;20.02;21.04;21.08;21.84;21.47;19.79;20.29;21.59;20.98;21.77;21.37;18.36;21.21;20.04;20.06;20.67;16.79;20.37;21.11;19.95;18.19;21.13;20.67;20.69;20.22;20.52;21.44;20.6;19.21;21.27;21.39;20.52;20.54;17.13;17.03;20.51;21.8;18.12;20.52;18.37;20.92;21.39;19.35;21.22;21.08;19.34;21.2;19.76;17.45;19.52;18.71;20.5;20.32;21.41;20.51;21.25;21.09;18.23;21.04;20.75;20.36;20.16;20.38;21.71;20.31;19.86;20.28;21.44;21.05;19.55;20.65;18.4;20.18;19.45;19.88;20.65;19.26;17.42;18.31;19.12;20.62;20.99;21.13;21.5;21.77;21.29;20.78
1986;9;23.15;23.69;22.66;20.89;21.9;23.15;23.28;23.35;23.05;23.31;22.06;23.3;23.02;23;23.64;20.26;22.93;19.25;22.95;23.82;23.89;24.41;23.09;23.8;24.12;24.01;22.82;22.82;23.26;23.24;22.31;23.22;22.74;22.26;23.86;23.1;22.16;24.01;19.67;20.99;23.86;22.96;22.78;23.86;19.92;23.15;23.46;22.65;22.69;22.87;22.11;24.23;22.49;23.8;23.72;24.19;24.16;22.27;22.94;24.06;23.2;24.31;23.94;20.91;23.8;22.63;22.74;23.43;19.25;22.96;23.13;22.63;20.69;23.26;23.37;23.46;22.89;23.1;23.48;22.88;21.74;23.31;23.81;23.01;23.26;19.67;19.45;23.01;24.18;20.69;23.1;20.89;23.29;24.12;21.87;23.83;23.75;21.9;23.33;22.42;19.89;22.13;21.2;23.12;22.7;24.03;23.03;23.71;23.19;20.7;23.8;23.45;22.74;22.55;22.72;24.31;22.82;22.46;23;23.48;23.23;22.12;22.95;20.95;22.67;22.02;22.53;22.95;21.75;19.87;20.79;21.54;23.35;23.78;23.26;24.28;24.31;23.44;22.96
1986;10;23.88;24.34;23.7;22.15;23.12;24.19;24.02;24.16;23.92;24.15;22.93;24.01;23.99;24.22;24.26;21.78;24.07;20.72;24.06;24.26;24.29;24.63;23.8;24.36;24.74;24.39;23.83;24.14;24.2;23.77;23.43;23.97;23.99;23.46;24.52;23.77;23.23;24.39;21.1;22.42;24.4;23.8;23.74;24.3;21.34;23.88;24.06;23.71;24.06;23.76;23.22;24.49;23.53;24.36;24.29;24.5;24.61;23.44;23.97;24.48;24.23;24.63;24.36;22.38;24.36;23.82;23.77;24.17;20.72;23.9;24;23.64;22.21;24.2;24.07;24.12;23.8;23.77;24.18;23.82;22.87;24.16;24.21;23.76;24.21;21.1;20.95;23.84;24.43;22.28;23.77;22.4;24;24.74;23.2;24.39;24.23;22.94;24.07;23.51;21.33;23.24;22.4;23.95;23.89;24.45;23.81;24.23;24.06;21.99;24.36;24.34;23.99;23.45;23.75;24.75;23.78;23.51;23.96;24.18;24.23;23.36;24.06;22.59;24.02;23.28;23.52;24.06;23.1;21.31;22.19;22.75;24.16;24.52;24.2;24.79;24.63;24.06;24.04
